F,M,married,widowed,single,divorced,age,children,construct,education,finance,government,IT,legal,manuf,medicine,retired,secondary,tertiary,postgrad,professional,income,avbal,avtrans,decision
0.0,1.0,1.0,0.0,0.0,0.0,39.85,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2702.8,25967.57,2444.53,None
1.0,0.0,0.0,0.0,1.0,0.0,26.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4951.78,26957.78,761.54,None
0.0,1.0,1.0,0.0,0.0,0.0,23.99,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3233.24,20215.56,1121.44,None
0.0,1.0,0.0,0.0,1.0,0.0,39.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8783.51,30179.66,1292.94,None
0.0,1.0,0.0,0.0,0.0,1.0,46.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3463.28,20150.46,248.52,None
0.0,1.0,0.0,0.0,0.0,1.0,46.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5797.69,36154.76,1410.4,None
1.0,0.0,1.0,0.0,0.0,0.0,37.61,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5396.38,12431.43,991.05,None
1.0,0.0,0.0,0.0,0.0,1.0,63.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,11960.26,61138.6,6896.69,None
0.0,1.0,0.0,0.0,0.0,1.0,57.12,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3791.18,31456.42,1342.56,None
0.0,1.0,0.0,1.0,0.0,0.0,70.83,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2604.68,13671.58,1026.93,None
1.0,0.0,1.0,0.0,0.0,0.0,49.03,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7440.09,30042.31,2085.96,A
1.0,0.0,0.0,1.0,0.0,0.0,70.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5163.77,8018.26,1079.94,None
0.0,1.0,1.0,0.0,0.0,0.0,32.28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3558.33,19216.65,713.24,A
0.0,1.0,0.0,0.0,0.0,1.0,47.2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5358.23,23972.95,1988.45,None
1.0,0.0,1.0,0.0,0.0,0.0,66.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2350.12,15075.0,1687.73,None
1.0,0.0,1.0,0.0,0.0,0.0,39.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7230.79,38445.33,2721.86,None
1.0,0.0,1.0,0.0,0.0,0.0,36.81,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5223.23,19613.9,2069.82,None
0.0,1.0,0.0,0.0,0.0,1.0,49.74,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5453.65,35356.57,2002.43,None
0.0,1.0,0.0,0.0,1.0,0.0,21.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3086.05,10153.88,592.97,B
1.0,0.0,1.0,0.0,0.0,0.0,69.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1932.81,9124.46,781.4,A
0.0,1.0,1.0,0.0,0.0,0.0,26.66,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3913.0,22076.67,1668.99,None
0.0,1.0,0.0,0.0,0.0,1.0,45.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,10719.57,29524.05,2074.57,None
1.0,0.0,0.0,0.0,0.0,1.0,50.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5298.03,33920.4,1500.14,None
1.0,0.0,0.0,0.0,0.0,1.0,44.25,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1645.65,9154.42,1364.2,None
0.0,1.0,0.0,0.0,1.0,0.0,31.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2993.83,12321.45,1200.47,None
1.0,0.0,0.0,0.0,1.0,0.0,44.21,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2418.01,12000.81,582.9,None
0.0,1.0,0.0,0.0,0.0,1.0,47.8,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,864.33,3960.82,589.42,None
0.0,1.0,1.0,0.0,0.0,0.0,40.81,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2256.53,20103.89,1618.65,None
1.0,0.0,1.0,0.0,0.0,0.0,53.99,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1094.51,20597.15,956.35,None
0.0,1.0,0.0,0.0,0.0,1.0,63.63,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1975.08,10945.61,497.65,None
0.0,1.0,0.0,0.0,0.0,1.0,51.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,10274.65,26727.86,2259.59,None
1.0,0.0,0.0,0.0,1.0,0.0,35.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3508.96,12346.86,437.7,None
1.0,0.0,0.0,1.0,0.0,0.0,50.42,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6265.25,36320.75,3731.41,None
1.0,0.0,0.0,0.0,1.0,0.0,23.67,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9211.97,25957.57,2595.54,B
1.0,0.0,0.0,0.0,0.0,1.0,66.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5387.15,35500.66,1506.26,None
0.0,1.0,1.0,0.0,0.0,0.0,32.14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1086.68,12004.37,1325.86,None
0.0,1.0,1.0,0.0,0.0,0.0,48.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,592.85,22844.59,1931.55,A
0.0,1.0,0.0,0.0,0.0,1.0,57.57,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5259.4,19997.0,2231.66,None
0.0,1.0,0.0,0.0,1.0,0.0,24.71,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2607.09,29870.55,432.46,None
0.0,1.0,1.0,0.0,0.0,0.0,61.49,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1376.26,12145.47,1235.43,A
1.0,0.0,1.0,0.0,0.0,0.0,40.37,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4001.88,28406.52,1328.02,A
0.0,1.0,0.0,0.0,1.0,0.0,27.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6845.55,24968.19,2027.0,None
1.0,0.0,1.0,0.0,0.0,0.0,50.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,511.38,7457.52,1153.44,None
0.0,1.0,0.0,0.0,0.0,1.0,66.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,534.9,7015.03,788.32,None
1.0,0.0,0.0,0.0,0.0,1.0,52.36,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11524.54,20139.88,6080.2,None
1.0,0.0,1.0,0.0,0.0,0.0,39.78,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6991.31,20261.34,2400.23,None
0.0,1.0,1.0,0.0,0.0,0.0,42.16,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4561.4,15692.33,1999.36,None
1.0,0.0,0.0,1.0,0.0,0.0,68.85,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2869.38,14723.89,994.85,None
1.0,0.0,0.0,0.0,1.0,0.0,32.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2588.95,15714.75,3062.53,None
0.0,1.0,0.0,0.0,1.0,0.0,27.41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9833.36,11026.02,2303.25,None
1.0,0.0,0.0,1.0,0.0,0.0,60.49,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9080.6,28877.91,3018.18,None
1.0,0.0,0.0,0.0,0.0,1.0,49.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2405.53,6160.56,1306.44,None
1.0,0.0,1.0,0.0,0.0,0.0,55.98,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,6923.76,22465.76,2259.66,None
0.0,1.0,0.0,0.0,0.0,1.0,65.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4642.65,12208.85,1339.7,None
1.0,0.0,1.0,0.0,0.0,0.0,39.36,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1175.9,12520.68,956.84,None
0.0,1.0,0.0,0.0,0.0,1.0,49.02,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2103.48,18577.7,995.2,None
1.0,0.0,1.0,0.0,0.0,0.0,67.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,849.11,9750.49,808.63,None
0.0,1.0,0.0,0.0,1.0,0.0,30.81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1001.33,12018.35,209.87,None
0.0,1.0,1.0,0.0,0.0,0.0,44.42,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16074.76,38266.96,3526.25,A
0.0,1.0,0.0,1.0,0.0,0.0,44.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4497.39,12198.9,881.98,None
1.0,0.0,1.0,0.0,0.0,0.0,64.38,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3532.75,24530.75,1575.74,None
0.0,1.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10121.36,46721.65,3037.19,None
0.0,1.0,0.0,0.0,0.0,1.0,45.45,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9046.3,29269.81,3420.82,None
0.0,1.0,1.0,0.0,0.0,0.0,38.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2162.07,8888.64,808.41,None
1.0,0.0,0.0,0.0,1.0,0.0,25.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2569.11,18864.38,724.63,None
0.0,1.0,0.0,0.0,1.0,0.0,26.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8650.53,10467.77,3871.36,None
1.0,0.0,1.0,0.0,0.0,0.0,40.03,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,11411.53,24844.95,1173.63,None
1.0,0.0,0.0,0.0,0.0,1.0,49.69,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2509.43,21737.39,1027.04,None
0.0,1.0,1.0,0.0,0.0,0.0,35.22,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2490.72,17113.91,284.02,None
1.0,0.0,1.0,0.0,0.0,0.0,40.35,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2508.6,4032.28,711.69,A
0.0,1.0,0.0,1.0,0.0,0.0,58.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5006.93,10404.44,1448.95,None
1.0,0.0,1.0,0.0,0.0,0.0,28.16,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2880.85,29718.85,2538.6,A
1.0,0.0,0.0,0.0,0.0,1.0,44.97,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6695.0,20729.48,2259.65,None
1.0,0.0,1.0,0.0,0.0,0.0,31.88,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3356.69,7424.35,145.25,None
1.0,0.0,0.0,0.0,1.0,0.0,28.72,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3440.76,25877.84,1113.6,None
1.0,0.0,0.0,0.0,1.0,0.0,23.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3853.06,11865.44,712.75,None
0.0,1.0,0.0,1.0,0.0,0.0,60.17,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5886.44,13902.8,945.28,None
0.0,1.0,0.0,0.0,1.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2138.89,22048.03,265.22,None
0.0,1.0,1.0,0.0,0.0,0.0,59.45,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10426.73,29460.48,1042.93,None
0.0,1.0,0.0,1.0,0.0,0.0,50.85,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9310.84,25973.99,2505.14,None
1.0,0.0,0.0,0.0,1.0,0.0,22.22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5636.37,25011.36,2535.67,None
0.0,1.0,0.0,0.0,1.0,0.0,28.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3141.35,36605.62,1870.51,None
0.0,1.0,0.0,0.0,1.0,0.0,34.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2827.91,15320.42,914.79,None
1.0,0.0,0.0,0.0,0.0,1.0,45.82,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,703.6,20535.04,2585.65,None
1.0,0.0,1.0,0.0,0.0,0.0,43.03,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,619.15,2872.72,1216.9,A
1.0,0.0,1.0,0.0,0.0,0.0,51.94,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9198.67,33090.32,4961.85,None
0.0,1.0,0.0,1.0,0.0,0.0,53.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8219.18,3917.26,3754.81,None
0.0,1.0,1.0,0.0,0.0,0.0,37.51,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1450.11,15996.83,735.94,None
1.0,0.0,1.0,0.0,0.0,0.0,67.78,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3087.85,23905.9,1590.28,None
1.0,0.0,0.0,0.0,1.0,0.0,20.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5225.92,33494.77,1759.23,None
1.0,0.0,0.0,0.0,1.0,0.0,42.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2865.8,42792.8,2724.65,None
0.0,1.0,0.0,0.0,1.0,0.0,27.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3837.58,11528.44,926.63,None
0.0,1.0,1.0,0.0,0.0,0.0,40.01,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2581.99,16908.08,1215.64,None
0.0,1.0,0.0,1.0,0.0,0.0,62.13,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3993.99,21914.89,1784.22,None
1.0,0.0,0.0,0.0,0.0,1.0,42.3,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4630.31,28998.11,3166.05,None
1.0,0.0,0.0,0.0,1.0,0.0,30.49,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2320.77,19511.52,1260.93,None
1.0,0.0,1.0,0.0,0.0,0.0,51.92,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4892.6,25482.14,2894.78,A
1.0,0.0,0.0,0.0,0.0,1.0,64.73,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12942.22,54919.07,1174.71,None
1.0,0.0,0.0,0.0,0.0,1.0,43.12,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8206.02,13127.97,3001.39,None
0.0,1.0,0.0,0.0,1.0,0.0,45.81,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1743.26,14885.43,1206.65,None
0.0,1.0,0.0,0.0,1.0,0.0,27.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2497.75,16218.84,457.62,None
0.0,1.0,1.0,0.0,0.0,0.0,39.13,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1262.29,21288.97,1963.87,None
0.0,1.0,1.0,0.0,0.0,0.0,39.97,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9675.09,54522.38,3774.26,A
0.0,1.0,1.0,0.0,0.0,0.0,25.34,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3735.53,12715.07,3315.75,None
0.0,1.0,1.0,0.0,0.0,0.0,66.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3875.63,20791.49,1077.71,None
0.0,1.0,1.0,0.0,0.0,0.0,25.13,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9599.25,58129.53,2420.35,None
1.0,0.0,0.0,0.0,0.0,1.0,44.86,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1915.08,19382.89,2011.31,None
1.0,0.0,0.0,0.0,1.0,0.0,33.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5007.86,23172.09,2174.52,None
1.0,0.0,0.0,0.0,1.0,0.0,25.66,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9994.61,51896.75,3851.1,None
1.0,0.0,1.0,0.0,0.0,0.0,40.08,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3089.44,18566.5,1412.62,A
1.0,0.0,0.0,0.0,0.0,1.0,41.92,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2500.22,16570.72,2739.64,None
0.0,1.0,1.0,0.0,0.0,0.0,36.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2126.57,9519.55,1788.15,A
0.0,1.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6776.93,32781.6,2804.99,None
1.0,0.0,0.0,0.0,1.0,0.0,38.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7109.13,29609.07,3001.48,None
1.0,0.0,0.0,0.0,1.0,0.0,44.45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11037.44,43257.93,2113.02,None
1.0,0.0,0.0,0.0,0.0,1.0,72.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2137.24,12522.51,807.41,None
1.0,0.0,1.0,0.0,0.0,0.0,43.42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6140.75,36572.83,2015.91,None
1.0,0.0,0.0,0.0,0.0,1.0,69.45,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2441.06,14987.41,331.35,None
1.0,0.0,1.0,0.0,0.0,0.0,47.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8354.8,11994.68,1507.29,None
0.0,1.0,1.0,0.0,0.0,0.0,40.39,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3621.7,17251.08,1817.26,None
0.0,1.0,0.0,0.0,0.0,1.0,43.52,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,673.86,10977.69,200.38,None
1.0,0.0,1.0,0.0,0.0,0.0,35.71,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3214.93,15423.24,1996.09,None
0.0,1.0,0.0,1.0,0.0,0.0,69.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2842.85,15448.78,1147.37,None
1.0,0.0,1.0,0.0,0.0,0.0,29.22,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11316.8,34265.83,3322.55,None
0.0,1.0,0.0,0.0,0.0,1.0,61.14,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14926.46,23191.1,2926.1,None
1.0,0.0,0.0,0.0,1.0,0.0,19.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,586.86,15931.03,1567.66,None
