index, sex, mstatus, age, children, occupation, education, income, avbal, avtrans,
1123,F,married,58.95,2,medicine,tertiary,6678.98,31147.1,2499.59,
1124,M,married,69.99,2,retired,secondary,1896.38,11336.12,1001.25,
1125,M,single,27.1,0,manuf,postgrad,4618.22,26163.65,2734.01,
1126,F,divorced,44.75,1,IT,postgrad,11948.27,20529.11,3794.51,
1127,F,married,29.12,0,government,postgrad,6036.18,33301.53,3005.17,
1128,F,divorced,51.95,2,manuf,tertiary,4568.48,4944.94,708.31,
1129,M,married,50.06,2,legal,secondary,3032.63,10746.96,916.79,
1130,F,single,28.02,0,finance,postgrad,13743.95,21092.99,3199.76,
1131,F,married,40.28,2,construct,tertiary,13743.95,21092.99,3199.76,
1132,M,married,33.84,1,legal,tertiary,11339.01,41741.67,1517.41,
1133,F,single,27.82,0,education,secondary,2069.16,12715.72,120.21,
1134,M,single,20.68,0,IT,tertiary,6152.76,26369.21,531.72,
1135,M,single,29.54,0,education,secondary,1250.27,3421.17,591.57,
1136,F,married,51.88,1,finance,tertiary,6878.24,22124.52,1693.66,
1137,M,married,27.8,1,IT,secondary,2541.34,15902.9,1208.05,
1138,F,married,62.59,2,government,professional,11468.31,38589.88,4293.4,
1139,F,married,25.73,0,education,tertiary,6420.61,11467.64,999.57,
1140,F,married,64.07,1,finance,postgrad,8793.84,45522.56,3020.4,
1141,F,divorced,43.71,0,finance,professional,10996.89,33996.53,5519.41,
1142,F,single,44.01,0,construct,tertiary,10996.89,33996.53,5519.41,
1143,M,single,19.68,0,manuf,secondary,1597.22,12988.13,374.86,
1144,M,single,34.87,0,government,secondary,4180.86,11787.38,544.22,
1145,M,divorced,69.67,0,retired,secondary,1500,4537.55,1126.29,
1146,F,single,46.82,0,government,secondary,2648.01,12020.38,625.14,
1147,M,married,36.05,2,medicine,professional,4459.5,30030.01,6121.81,
1148,F,divorced,44.31,1,manuf,postgrad,9095.27,5296.32,2181.09,
1149,F,married,39.96,1,finance,secondary,1880.32,9156.97,1907.24,
1150,M,married,38.63,1,legal,secondary,4849.11,21474.9,2237.25,
1151,F,divorced,32.72,2,construct,postgrad,4849.11,21474.9,2237.25,
1152,F,divorced,45,0,medicine,professional,8208.78,61163.17,3002.76,
1153,F,married,36.18,0,legal,secondary,3012.38,26892.85,2086.99,
1154,M,married,40.4,0,manuf,secondary,1873.97,10906.54,479.49,
1155,M,single,28.56,0,IT,secondary,3151.37,7171.9,1135.59,
1156,F,married,37.41,1,IT,postgrad,8939.97,19757.27,3758.76,
1157,M,single,27.68,0,education,secondary,1967.76,13973.39,1053.46,
1158,M,divorced,55.63,1,construct,tertiary,1967.76,13973.39,1053.46,
1159,M,single,21.38,0,finance,secondary,1816.57,23355.86,729.3,
1160,F,divorced,45.74,1,legal,tertiary,6858.6,30434.56,2586.61,
1161,M,married,66.61,2,retired,tertiary,3411.5,4109.34,652.85,
1162,M,married,34.1,0,legal,tertiary,6962.65,34067.7,3023.38,
1163,M,single,34.38,0,IT,tertiary,3971.55,17515.48,1809.21,
1164,M,single,18.68,0,government,secondary,1706.07,14186.53,1033.9,
1165,M,divorced,52.14,2,IT,secondary,2982.8,15822.45,1305.67,
1166,F,married,63.27,3,manuf,tertiary,3442.76,11462.96,1346.93,
1167,M,married,52,1,construct,professional,3442.76,11462.96,1346.93,
1168,M,married,40.18,1,medicine,tertiary,6160.52,31602.88,3035.38,
1169,F,single,47.29,0,IT,secondary,1967.16,16993,825.4,
1170,M,married,34.85,1,manuf,professional,7708.48,41568.87,3979.79,
1171,M,single,23.72,0,medicine,tertiary,10310.93,21226.83,1876.78,
1172,M,married,39.08,0,IT,tertiary,5996.82,27205.74,2216.76,
1173,F,married,38.38,0,government,postgrad,9811.59,25039.03,3054.94,
1174,M,widowed,46.72,0,legal,professional,11555.55,57829.06,4775.55,
1175,M,single,27.98,0,government,secondary,4168.83,12273.37,1394.05,
1176,F,married,38.24,2,legal,secondary,2608.09,18379.8,1469.98,
1177,F,married,39.98,2,government,professional,3674.39,31136.81,4721.18,
1178,F,divorced,47.79,1,finance,professional,11041.22,35395,4420.81,
1179,F,divorced,25.74,0,medicine,secondary,3435.42,28659.38,1651.99,
1180,M,married,58.34,1,finance,secondary,2789.55,16110.84,1026.22,
1181,M,divorced,42.93,0,education,tertiary,4931.24,31841.9,553.73,
1182,M,married,46.16,2,medicine,postgrad,3918.2,61453.57,2631.45,
1183,F,single,31.65,0,education,tertiary,2601.46,30915.39,1132.43,
1184,F,widowed,51.24,2,education,secondary,3128.14,11643.57,1169.01,
1185,F,married,57.16,2,government,postgrad,10035.27,27399.24,2501.02,
1186,F,single,43.43,0,manuf,tertiary,6181.22,1096.12,968.94,
1187,F,married,43.83,2,government,tertiary,5110.32,17400.28,1514.89,
1188,F,widowed,59.85,1,finance,tertiary,6800.3,36211.61,1989.57,
1189,F,divorced,45.12,1,legal,tertiary,4527.92,29251.8,3797.1,
1190,M,widowed,76.18,2,retired,tertiary,2685.69,14980.35,1634.72,
1191,M,single,27.96,0,government,secondary,2503.29,19820.64,979.76,
1192,M,widowed,52.9,2,IT,secondary,2204.81,16782.51,538.56,
1193,F,divorced,46.4,1,IT,secondary,3372.78,13256.41,1196.34,
1194,F,married,21.44,4,construct,postgrad,3372.78,13256.41,1196.34,
1195,F,married,53.25,1,education,secondary,1974.96,11978.52,1010.51,
1196,M,married,36.96,0,IT,postgrad,9308.39,24851,3169.27,
1197,F,single,22.72,0,legal,secondary,2969.15,25456.75,1387.8,
1198,F,divorced,67.9,2,retired,tertiary,2843.99,15828.03,413.59,
1199,M,divorced,49.26,2,education,secondary,2586.85,18401.18,980.51,
1200,F,single,47.31,0,medicine,tertiary,5197.97,40131.55,2512.97,
1201,M,single,23.74,0,legal,tertiary,10296.07,34451.29,3842.95,
1202,F,single,26.21,0,government,tertiary,5863.09,20889.18,1602.14,
1203,F,married,40.23,1,legal,professional,11787.53,54557.77,4837.99,
1204,M,single,29.55,0,education,tertiary,4911.72,25524.16,1194.72,
1205,M,widowed,53.06,4,construct,secondary,4911.72,25524.16,1194.72,
1206,M,divorced,62.41,2,IT,tertiary,6888.85,18804.25,1710.2,
1207,M,married,51.62,2,IT,professional,8264.78,42469.55,5004.01,
1208,M,widowed,54.06,2,manuf,professional,10007.33,21911.73,6479.77,
1209,M,single,24.7,0,manuf,tertiary,3515.89,791.21,1358.73,
1210,F,single,44.79,0,construct,postgrad,3515.89,791.21,1358.73,
1211,F,divorced,38.47,2,manuf,secondary,3199.64,12001.28,921.93,
1212,M,single,33.02,0,IT,tertiary,3850.28,31352.36,1976.96,
1213,M,single,42.78,0,medicine,tertiary,4117.11,42270.38,2492.02,
1214,M,single,19.26,0,medicine,professional,16160.29,60151.32,5292.73,
1215,M,single,28.06,0,government,postgrad,4624.59,24274.72,2467.84,
1216,F,single,24.07,0,government,tertiary,4336.19,20000.24,1505.45,
1217,F,married,58.55,0,education,secondary,1573.34,15550.77,823.67,
1218,F,married,35.42,2,manuf,professional,14849.83,28545.83,6972.33,
1219,F,single,35.38,0,manuf,tertiary,4027.21,35584.1,595.59,
1220,F,divorced,45.02,2,education,secondary,2136.26,19102.24,632.98,
1221,F,single,36.93,0,manuf,secondary,4374.42,21314.26,666.13,
1222,M,married,39.74,3,education,postgrad,6003.54,24857.92,2112.91,
1223,F,divorced,46.92,1,IT,postgrad,7724.24,27358.08,3000.47,
1224,F,married,32.17,3,government,tertiary,4899.36,19581.25,1275.82,
1225,F,married,45.57,1,IT,secondary,1741.81,6693.95,1467.53,
1226,M,single,21.07,0,IT,tertiary,5563.72,30836.03,975.57,
1227,F,married,40.23,2,medicine,tertiary,9182.73,24951.12,2795,
1228,M,married,23.69,0,finance,secondary,2000.39,12614.53,1842.69,
1229,M,married,31.78,1,legal,secondary,2998.91,26005.23,1727.04,
1230,M,widowed,68.83,0,retired,secondary,1461.34,11336.94,361.95,
1231,F,married,38.16,1,construct,tertiary,1461.34,11336.94,361.95,
1232,M,married,34.98,1,medicine,secondary,3176.01,21446.58,2115.67,
1233,M,married,39.64,1,government,tertiary,4267.17,20013.4,765.15,
1234,M,divorced,34.19,2,legal,secondary,1085.8,23004.11,2180.35,
1235,F,divorced,44.72,1,education,postgrad,8579.37,11179.03,2020.91,
1236,F,married,38.62,1,government,tertiary,7268.12,10820.04,675.14,
1237,M,single,38.35,0,legal,tertiary,7245.41,25652.76,3826.85,
1238,M,married,40.05,0,government,secondary,2471.98,18882.66,768.87,
1239,F,single,30.18,0,government,secondary,2455.92,13916.42,806.91,
1240,F,divorced,52.46,0,government,secondary,2059.66,4444.23,989.99,
1241,M,single,30.95,0,government,postgrad,8357.12,24785.76,2780.76,
1242,M,divorced,35,0,manuf,secondary,686.26,14686.15,908.43,
1243,M,married,32.1,0,construct,postgrad,686.26,14686.15,908.43,
1244,M,divorced,48.98,2,IT,postgrad,5462.79,21837.02,3996.01,
1245,M,married,51.6,2,medicine,secondary,2017,19970.42,1945.52,
1246,F,married,37.98,2,medicine,tertiary,7085.67,38109.78,2373.53,
1247,M,single,27.58,0,medicine,postgrad,10187.79,43593.55,4030.05,
1248,M,married,66.05,0,retired,tertiary,4070.26,18148.54,961.79,
1249,F,divorced,48.53,0,government,professional,10041.75,36859.73,4200.68,
1250,M,divorced,46.34,3,education,secondary,2220.61,12113.68,323.11,
1251,F,divorced,49.19,2,IT,professional,15532.77,56301.27,3492.54,
1252,M,widowed,43.71,2,IT,secondary,1958.49,17702.16,425.03,
1253,M,married,28.67,0,IT,postgrad,13812.96,47512.03,4061.13,
1254,F,married,44.75,0,legal,secondary,3184.16,22300.57,2763.38,
1255,F,widowed,68.81,1,retired,secondary,2208.59,12120.77,799.46,
1256,F,divorced,44.08,2,construct,secondary,2208.59,12120.77,799.46,
1257,F,married,42.69,1,government,postgrad,4134.67,9127.39,1961.72,
1258,F,married,36.6,4,legal,secondary,3280.48,19315.89,1300.58,
1259,F,single,37.17,0,finance,tertiary,8617.7,23610.2,3314.1,
1260,F,single,28.88,0,manuf,tertiary,5008.52,30031.57,1341.59,
1261,F,married,31.17,1,finance,tertiary,4711.3,19715.99,2231.81,
1262,F,single,47.94,0,construct,postgrad,4711.3,19715.99,2231.81,
1263,F,married,46.34,1,legal,postgrad,4112.24,42339.04,4231.79,
1264,F,married,24.43,2,finance,secondary,2449.67,8063.31,1188,
1265,F,married,42.04,0,finance,tertiary,3655.02,17120.85,743.38,
1266,F,married,61.54,1,manuf,tertiary,5914.25,39930.19,1508.37,
1267,M,married,41.12,0,finance,secondary,1175.24,10055.03,1108.87,
1268,M,married,39.6,2,medicine,tertiary,7256.32,36230.87,3443.15,
1269,M,single,42.86,0,construct,postgrad,7256.32,36230.87,3443.15,
1270,F,single,27.33,0,construct,postgrad,7256.32,36230.87,3443.15,
1271,M,single,26.02,0,construct,tertiary,7256.32,36230.87,3443.15,
1272,F,married,32.91,1,manuf,secondary,1742.69,11305.44,807.24,
1273,F,divorced,67.73,2,retired,postgrad,4386.46,34212.62,1967.8,
1274,F,married,33.73,0,IT,secondary,878.83,13341.57,2119.25,
1275,F,married,40.82,1,medicine,postgrad,4044.13,39492.08,2581.39,
1276,F,married,28.26,2,IT,secondary,827.92,15904.95,1238.02,
1277,M,single,30.89,0,government,postgrad,11507.34,25509,2491.63,
1278,F,single,34.17,0,construct,tertiary,11507.34,25509,2491.63,
1279,M,divorced,45.9,2,medicine,tertiary,7324.41,44593.19,1223.36,
1280,M,married,40.13,1,legal,tertiary,5881.37,27942.56,3141.79,
1281,F,divorced,45,1,education,secondary,1028.09,11775.33,258.99,
1282,F,single,26.01,0,manuf,postgrad,4724.65,45037.37,2828.24,
1283,M,single,25.07,0,government,tertiary,6778.03,3580.5,808.25,
1284,F,widowed,47.75,4,finance,postgrad,8560.33,28024.36,2801.79,
1285,M,divorced,65.27,0,retired,professional,2837.89,25070.65,2329.88,
1286,F,married,26.36,2,government,secondary,3296.64,13542.91,642.63,
1287,M,single,38.85,0,manuf,tertiary,6858.71,34745.47,1504.15,
1288,F,married,67.74,2,retired,postgrad,3998.42,19169.64,1176.74,
1289,M,single,30.94,0,legal,tertiary,5371.14,31506.51,1827.28,
1290,M,married,25.58,1,finance,tertiary,8652.49,24485.09,466.86,
1291,M,married,39.23,1,IT,tertiary,2951.64,22628.96,2103.93,
1292,F,single,20.27,0,IT,secondary,2400.83,18830.26,1262.76,
1293,M,married,28.14,1,construct,tertiary,2400.83,18830.26,1262.76,
1294,F,married,69.48,2,retired,tertiary,3464.41,14908.22,1375.13,
1295,F,married,36.87,1,finance,postgrad,4374.92,37520.14,1673.64,
1296,M,widowed,80.36,2,retired,tertiary,4639.27,14546.84,1026.08,
1297,M,married,26.42,1,government,tertiary,7286.08,22451.48,1486.78,
1298,F,married,53.05,1,finance,postgrad,4863.22,43321.07,1767.95,
1299,F,married,42.89,2,IT,tertiary,2862.5,12956.54,2984.82,
1300,M,single,38.05,0,manuf,secondary,2579.67,11973.94,946.23,
1301,F,married,36.1,2,IT,secondary,2456.04,16038.8,1423.61,
1302,F,widowed,42.51,0,manuf,secondary,885.67,18480.19,790.29,
1303,F,married,51.23,0,construct,professional,885.67,18480.19,790.29,
1304,F,married,23.8,2,construct,tertiary,885.67,18480.19,790.29,
1305,F,divorced,74.64,0,retired,tertiary,4023.53,14799.79,861.57,
1306,M,married,41.31,1,manuf,tertiary,4859.65,20245.45,1454.96,
1307,F,divorced,46.82,2,construct,postgrad,4859.65,20245.45,1454.96,
1308,F,married,55.61,2,legal,postgrad,10515.46,16979.32,3705.84,
1309,M,married,35.14,2,construct,professional,10515.46,16979.32,3705.84,
1310,M,single,28.96,0,construct,secondary,10515.46,16979.32,3705.84,
1311,M,divorced,40.54,0,government,professional,9999.15,18063.6,3520.64,
1312,M,single,18.89,0,IT,secondary,1243.35,17846.42,1202.16,
1313,M,divorced,45,2,medicine,tertiary,8470.28,30007.18,2085.02,
1314,F,widowed,59.82,0,manuf,tertiary,4769.24,14668.73,1272.98,
1315,F,single,20.6,0,construct,tertiary,4769.24,14668.73,1272.98,
1316,M,widowed,53.38,0,government,tertiary,5002.56,18736.63,1265.24,
1317,M,widowed,55.66,1,legal,secondary,545.99,17664.72,2268.11,
1318,M,single,19.65,0,manuf,tertiary,5116.85,11316.87,658.89,
1319,M,single,21.92,0,finance,tertiary,4621.43,37156.53,1254.53,
1320,M,divorced,42.9,2,legal,tertiary,6923.47,21424.73,3224.38,
1321,F,married,21.9,0,government,secondary,3759.32,11549.93,971.75,
1322,F,married,32.65,1,manuf,secondary,963.42,12077.99,643.71,
1323,F,single,27.96,0,finance,postgrad,12046.91,33531.69,2988.97,
1324,F,married,61.97,2,finance,secondary,1398.29,16269.35,901.3,
1325,F,widowed,49.96,1,manuf,secondary,3667.07,18527.27,727.43,
1326,M,single,30.37,0,government,secondary,4153.67,11923.82,321.53,
1327,F,married,36.18,1,government,postgrad,7401.34,37223.55,2814.56,
1328,M,single,28.2,0,legal,tertiary,6421.37,21192.32,2502.32,
1329,M,married,61.73,1,construct,postgrad,6421.37,21192.32,2502.32,
1330,F,single,37.99,0,finance,secondary,2938.03,6818.56,1341.96,
1331,F,divorced,42.87,0,manuf,secondary,1401.86,15778.27,680.93,
1332,F,divorced,45.61,4,finance,tertiary,5953.5,24966.09,3329.51,
1333,M,divorced,55.91,3,education,professional,4602.42,30420.6,3057.58,
1334,M,married,28.83,1,IT,secondary,2897.63,13882.44,1022.52,
1335,M,married,46.91,0,medicine,tertiary,10486.98,44494.3,3132.39,
1336,F,single,37.01,0,legal,professional,12852.98,80809.61,4635.81,
1337,F,divorced,50.03,3,medicine,secondary,576.37,19640.62,944.8,
1338,M,married,32.17,2,government,postgrad,11302.02,42491.95,2507.79,
1339,F,married,39.11,1,manuf,professional,5037.78,3312.87,6594.14,
1340,F,widowed,53,1,IT,tertiary,5460.61,23704.15,1531.22,
1341,F,single,23.62,0,government,tertiary,3671.14,13011.45,2235.53,
1342,F,single,29.07,0,government,postgrad,5099.3,12868.19,3497.84,
1343,F,married,21.81,2,finance,secondary,2000.58,16844.21,1540.9,
1344,F,married,20.51,1,government,tertiary,2770.44,26375.83,1833.18,
1345,F,single,27.18,0,government,secondary,891.37,4320.47,654.51,
1346,M,divorced,63.97,1,construct,tertiary,891.37,4320.47,654.51,
1347,F,married,50.2,0,government,secondary,2715.4,3236.78,1312.33,
1348,M,married,34.28,2,education,secondary,1461.41,17511.09,790.21,
1349,M,married,44.35,2,construct,tertiary,1461.41,17511.09,790.21,
1350,F,single,35.19,0,legal,tertiary,11840.76,31967.3,2347.47,
1351,F,single,28.85,0,legal,tertiary,6899.05,32943.98,1519.11,
1352,F,single,40,0,IT,secondary,2265.78,11013.62,1541.95,
1353,F,married,46.73,1,medicine,professional,6927.25,34780.62,4306.22,
1354,M,divorced,57.16,2,government,postgrad,7995.22,7869.72,2499.15,
1355,F,married,42.24,1,government,tertiary,4096.09,3618.52,1501.56,
1356,M,divorced,35.86,1,manuf,secondary,549.05,11164.56,462.09,
1357,M,single,25.68,0,finance,secondary,2546.86,20859.67,1308.94,
1358,M,married,34.28,2,government,secondary,2110.43,20979.26,570.6,
1359,M,single,29.69,0,IT,professional,15703.99,8854.45,6184.11,
1360,F,married,30.76,2,education,secondary,2227.6,3529.47,279.27,
1361,F,divorced,41.22,1,legal,secondary,3069.22,30716.04,2572.44,
1362,M,single,35.26,0,medicine,postgrad,9986.8,38341.29,3976.41,
1363,M,divorced,65.53,2,retired,tertiary,4052.06,17855.03,416.39,
1364,F,married,40,2,government,tertiary,5664.92,25392.19,1906.93,
1365,F,divorced,45.97,2,manuf,tertiary,2457.8,19999.87,1710.44,
1366,F,single,41.88,0,government,secondary,2403.81,19962.73,874.94,
1367,M,married,45.79,0,construct,secondary,2403.81,19962.73,874.94,
1368,F,married,20.75,0,education,tertiary,1567.4,21150.41,1481.68,
1369,F,married,41.53,2,manuf,tertiary,2431.75,19951.37,2462.8,
1370,F,single,35.74,0,IT,tertiary,6702.17,23538.95,627.38,
1371,M,widowed,51.84,2,manuf,tertiary,5855.55,11432.77,1122.14,
1372,M,married,52.67,2,education,secondary,2361.09,16397.3,866.98,
1373,F,married,32.65,1,manuf,postgrad,8032.1,27765.1,3346.63,
1374,M,single,31.92,0,education,tertiary,3704.32,36474.71,1171.03,
1375,F,married,26.26,0,manuf,postgrad,7947.07,19411.08,2182.03,
1376,M,married,41.59,0,government,secondary,2343.04,16920.7,797.4,
1377,M,married,25.53,3,IT,secondary,1721.81,21312.01,1783.63,
1378,M,single,27.99,0,IT,postgrad,8246.85,16293.02,3837.06,
1379,F,married,25.69,1,IT,secondary,1546.59,16762.57,1087.83,
1380,M,divorced,34.15,2,education,secondary,3283.57,8120.22,485.87,
