,index,sex,mstatus,age,children,occupation,education,income,avbal,avtrans,decision,predict_score
94,95,F,single,21.77,0,government,professional,9074.18,45822.57,3808.06,None,5.492702102789679
95,96,M,single,44.25,0,government,postgrad,9828.13,39151.61,1585.55,None,5.506499168353152
96,97,M,divorced,43.1,1,IT,secondary,2440.21,19562.72,1236.97,None,4.912061681567716
97,98,F,married,51.22,4,government,tertiary,5259.4,19997.0,2231.66,None,5.030639405016351
98,99,M,divorced,57.57,0,construct,secondary,5259.4,19997.0,2231.66,None,5.044607653314825
99,100,M,single,32.82,0,manuf,postgrad,11710.38,22848.83,3276.89,None,5.426740758123656
100,101,F,married,53.5,1,manuf,tertiary,6527.98,19557.48,746.47,A,4.534039610476501
101,102,M,single,28.04,0,finance,secondary,2966.88,21066.84,1196.25,None,4.745694185084387
102,103,F,widowed,50.86,1,legal,secondary,3146.1,8741.4,1175.31,None,4.369458775874776
103,104,M,married,56.94,1,government,tertiary,4978.89,18633.57,1335.63,None,4.856108225531672
104,105,F,married,61.92,3,finance,secondary,1778.85,15817.56,831.48,None,4.28798719265828
105,106,F,widowed,58.67,2,government,secondary,2500.62,14213.94,453.0,None,4.14415213623009
106,107,M,married,61.31,3,IT,tertiary,4670.3,22049.58,2548.68,A,5.176434541230898
107,108,F,married,55.76,1,construct,tertiary,4670.3,22049.58,2548.68,None,5.063798616799576
108,109,F,married,37.65,3,legal,professional,7642.11,78385.03,6008.57,None,6.711075420272625
109,110,F,single,44.45,0,IT,postgrad,11037.44,43257.93,2113.02,None,5.579816217116908
110,111,M,married,66.36,0,retired,postgrad,3875.63,20791.49,1077.71,None,4.358291876433012
111,112,M,married,32.7,1,construct,tertiary,3875.63,20791.49,1077.71,None,4.814324591874433
112,113,F,married,43.9,4,education,tertiary,3546.13,14623.72,999.89,None,4.6775235338370305
113,114,F,single,28.57,0,finance,postgrad,13056.93,35535.66,4908.91,None,5.531650281532295
114,115,F,single,24.41,0,construct,secondary,13056.93,35535.66,4908.91,None,5.367952003260884
115,116,M,married,39.62,0,manuf,tertiary,2463.54,1694.22,1500.08,None,4.21821998380453
116,117,M,married,52.79,2,government,tertiary,4408.43,24776.96,1946.16,None,5.17935752894471
117,118,M,divorced,45.59,2,construct,secondary,4408.43,24776.96,1946.16,None,5.241479292984986
118,119,F,single,27.97,0,government,postgrad,11814.06,39759.75,1111.54,None,5.0277477384246945
119,120,M,married,39.9,2,education,tertiary,3455.08,19904.04,544.94,None,4.631743840007837
120,121,F,widowed,49.66,2,education,secondary,2992.71,11353.67,303.33,None,4.04734182074325
121,122,F,widowed,61.05,1,finance,postgrad,12020.48,47258.04,3712.02,None,5.502427503145939
122,123,M,single,45.85,0,medicine,professional,12214.12,72994.93,7301.07,None,7.03229008665116
123,124,F,divorced,56.94,0,construct,secondary,12214.12,72994.93,7301.07,None,6.6220745242013095
124,125,M,married,37.51,1,finance,secondary,1450.11,15996.83,735.94,None,4.480159661395836
125,126,M,single,26.66,0,manuf,professional,8650.53,10467.77,3871.36,None,5.065398274938888
126,127,F,married,39.97,2,government,tertiary,4906.33,20328.02,673.85,None,4.57654386175827
127,128,M,single,27.67,0,construct,postgrad,4906.33,20328.02,673.85,B,4.6777901227154395
128,129,M,married,41.77,0,manuf,tertiary,5849.22,28504.76,1458.2,None,5.215469001242036
129,130,F,widowed,59.71,3,finance,professional,10170.47,45338.34,4761.22,None,5.541176995592027
130,131,F,single,28.31,0,finance,tertiary,7067.84,14085.66,3020.8,None,4.993858310501263
131,132,F,single,35.06,0,manuf,secondary,3508.96,12346.86,437.7,None,4.126514204968921
132,133,F,married,58.36,1,IT,tertiary,2510.42,23947.57,1990.3,A,4.945469635594183
133,134,M,married,36.71,1,government,secondary,4030.26,2377.23,409.25,None,3.684161279060394
134,135,F,divorced,34.82,2,medicine,tertiary,6701.74,16363.95,3541.74,None,5.145207769393492
135,136,F,single,28.77,0,finance,secondary,2231.17,16432.66,1186.89,None,4.549864933292041
136,137,M,single,21.75,0,government,secondary,3086.05,10153.88,592.97,B,4.142447482338186
137,138,F,married,49.28,0,medicine,tertiary,6967.26,28809.91,1473.94,None,5.030981610899857
138,139,M,single,21.62,0,finance,tertiary,6052.6,26303.88,2001.31,B,5.152167984560821
139,140,M,married,40.11,2,finance,secondary,3295.55,11103.75,1225.06,A,4.597111951472993
140,141,M,married,40.06,2,manuf,secondary,2320.77,19511.52,1260.93,A,4.844733855353793
141,142,F,single,30.49,0,construct,postgrad,2320.77,19511.52,1260.93,None,4.818793301843668
142,143,M,divorced,46.15,2,legal,tertiary,6234.92,18363.03,3940.24,None,5.424421700143617
143,144,M,married,38.09,1,finance,postgrad,10279.43,14525.43,3731.24,None,5.308666515790338
144,145,F,married,43.42,0,finance,tertiary,6140.75,36572.83,2015.91,None,5.320641521547229
145,146,F,married,58.98,2,manuf,tertiary,3507.01,12834.27,1958.05,A,4.677662451565299
146,147,F,married,50.84,0,finance,postgrad,10716.45,34888.58,3899.33,A,5.485602856117266
147,148,M,divorced,32.18,0,finance,tertiary,6118.91,24017.18,2372.0,None,5.235757907955856
148,149,F,married,39.45,1,manuf,secondary,2417.48,11452.9,271.75,A,3.947071276055399
149,150,M,single,25.43,0,IT,secondary,2181.87,12695.79,1233.78,None,4.513091882569286
150,151,F,single,27.35,0,IT,secondary,1211.64,14537.96,1127.08,None,4.443224612801812
151,152,F,widowed,60.08,0,government,postgrad,8446.99,14132.2,1077.38,None,4.631797417847054
152,153,F,married,63.91,3,construct,postgrad,8446.99,14132.2,1077.38,A,4.537057039916421
153,154,F,married,34.14,2,manuf,postgrad,8634.24,44913.59,2236.69,None,5.3201121655101105
154,155,M,divorced,45.01,1,education,postgrad,6764.74,12294.81,1840.94,None,5.135741408796905
155,156,M,divorced,55.07,2,construct,secondary,6764.74,12294.81,1840.94,None,4.7742518199607265
156,157,F,married,42.01,1,finance,tertiary,5721.88,26370.11,642.18,A,4.71282430406386
157,158,M,married,26.28,2,medicine,tertiary,7010.4,24533.69,1329.07,None,4.961573968584618
158,159,F,single,26.56,0,manuf,postgrad,8892.31,25245.63,2545.98,B,5.259582114716361
159,160,M,divorced,44.2,0,government,tertiary,2256.53,20103.89,1618.65,None,5.173425026250035
160,161,M,married,40.81,3,construct,professional,2256.53,20103.89,1618.65,None,5.159772653948851
161,162,M,single,34.44,0,government,secondary,2381.57,17593.71,278.01,None,4.225562673563141
162,163,F,married,28.36,2,IT,secondary,1557.8,16706.25,1236.9,None,4.4838454706761475
163,164,M,divorced,64.46,3,finance,tertiary,6624.39,18540.12,1867.26,None,4.978928973285598
164,165,F,married,50.24,2,medicine,postgrad,12275.08,28592.25,4309.14,None,5.464116782250379
165,166,M,divorced,36.74,0,government,tertiary,7737.91,11885.22,1548.4,None,4.795321063129691
166,167,M,married,39.96,1,manuf,postgrad,11223.81,16528.01,1250.11,None,4.989635207201205
167,168,F,married,32.09,2,construct,secondary,11223.81,16528.01,1250.11,None,4.5778352874348816
168,169,F,married,26.77,3,IT,tertiary,7828.41,24030.28,1793.85,None,4.943376741392388
169,170,M,widowed,45.64,2,legal,postgrad,11076.64,39165.49,4656.02,None,5.8172484778095095
170,171,M,married,27.53,1,government,postgrad,10168.13,46470.32,2624.87,A,5.4936444909946225
171,172,F,single,26.71,0,construct,secondary,10168.13,46470.32,2624.87,B,5.2632313059698745
172,173,F,married,43.92,1,government,secondary,2545.29,8967.41,915.71,None,4.325021976810265
173,174,M,married,34.88,1,manuf,secondary,722.07,11707.8,843.7,None,4.342158921320672
174,175,F,married,58.26,1,medicine,tertiary,6886.83,29094.03,1178.01,None,4.830088319928536
175,176,F,widowed,55.51,1,government,tertiary,6855.79,16536.76,877.52,None,4.5776555464016075
176,177,M,divorced,31.46,1,education,secondary,1989.72,11991.44,303.69,None,4.042867961117472
177,178,F,married,39.8,1,government,secondary,3742.28,14590.72,769.22,None,4.375956490792342
178,179,M,single,29.26,0,finance,tertiary,5998.49,11741.35,2034.94,None,4.839431848673973
179,180,F,widowed,41.66,3,IT,secondary,2200.89,25663.49,1212.2,None,4.894668652185791
180,181,F,divorced,45.0,0,IT,secondary,1463.39,16051.12,1213.22,None,4.756820879257848
181,182,F,married,29.26,1,construct,tertiary,1463.39,16051.12,1213.22,A,4.537972496123958
182,183,M,married,36.83,2,finance,tertiary,5717.02,27100.5,1031.46,None,4.9575593656864925
183,184,F,married,30.27,3,construct,secondary,5717.02,27100.5,1031.46,None,4.669413483525965
184,185,F,single,28.1,0,government,postgrad,7999.78,13969.58,2650.37,None,5.02557382861575
185,186,F,married,51.61,1,construct,postgrad,7999.78,13969.58,2650.37,A,5.022170494953098
186,187,M,single,20.84,0,legal,secondary,2749.09,13471.51,1863.63,None,4.724620955445518
187,188,M,single,27.85,0,finance,secondary,2509.43,21737.39,1027.04,None,4.685428628491006
188,189,F,divorced,49.69,2,construct,tertiary,2509.43,21737.39,1027.04,None,4.7930829243562725
189,190,F,divorced,35.64,2,government,professional,10875.01,40252.13,1017.16,None,5.052460172069994
190,191,M,divorced,50.23,3,education,tertiary,5560.42,28887.65,999.76,None,4.988034735561477
191,192,F,married,31.07,3,government,tertiary,3951.12,20632.88,1478.18,A,4.787257289185536
192,193,M,divorced,66.41,3,retired,tertiary,2219.78,20866.69,1398.47,None,4.384469762321087
193,194,F,married,38.8,1,government,postgrad,8081.6,19182.55,2260.06,None,5.138560076474578
194,195,F,married,29.01,2,IT,tertiary,7488.13,36289.03,806.72,None,4.727328065197919
195,196,F,widowed,86.8,2,retired,professional,4689.28,33038.0,1353.32,None,4.362305874712588
196,197,F,single,38.09,0,medicine,professional,18900.69,50930.82,6210.63,None,5.972593193218216
197,198,M,married,32.84,2,IT,tertiary,3448.01,18036.78,2607.85,None,5.1270934127891
198,199,M,married,55.67,0,IT,secondary,2594.06,19719.45,1660.6,None,4.8879561899973965
199,200,M,single,23.33,0,medicine,tertiary,10339.55,28237.32,1395.03,B,5.0333385351317785
200,201,F,married,35.82,1,finance,professional,11144.99,33709.7,7672.02,A,6.251376577848647
201,202,F,married,68.66,1,retired,postgrad,2999.64,20974.84,1270.29,None,4.2606417118711315
202,203,M,married,43.13,0,government,postgrad,8045.89,21474.17,1800.08,None,5.344756639545601
203,204,F,divorced,73.3,2,retired,tertiary,4378.06,14914.94,1372.8,None,4.173959407740698
204,205,F,married,26.39,1,manuf,secondary,1535.98,12060.32,796.67,A,4.1481858842004025
205,206,M,single,28.74,0,IT,tertiary,4295.75,19601.9,792.41,None,4.643720511244158
206,207,M,married,26.64,3,medicine,secondary,508.1,14406.19,1713.48,None,4.674348530152965
207,208,M,married,39.98,3,manuf,tertiary,2248.96,20332.04,1651.66,None,5.067397882496735
208,209,F,married,30.18,3,construct,postgrad,2248.96,20332.04,1651.66,None,4.879229447893609
209,210,M,single,27.69,0,government,secondary,2082.23,17948.54,982.88,None,4.57551492422209
210,211,F,single,21.99,0,legal,tertiary,9465.08,17810.63,2466.62,B,5.019312570621119
211,212,F,single,21.23,0,manuf,tertiary,7253.39,8782.71,1781.74,None,4.565690414600223
212,213,F,married,22.09,1,IT,secondary,1500.4,21697.37,1862.66,None,4.759926486859005
213,214,M,married,24.35,0,medicine,secondary,2600.58,17139.96,2255.63,A,4.917468413493201
214,215,F,married,29.22,3,finance,postgrad,11316.8,34265.83,3322.55,None,5.382489779302872
215,216,F,married,41.34,2,IT,tertiary,5331.59,34455.95,1429.28,None,5.093930163907302
216,217,F,single,42.45,0,education,postgrad,3206.45,32625.71,2199.25,None,5.45212210142663
217,218,M,single,26.52,0,IT,tertiary,8686.04,11643.91,2039.02,B,4.835233623282413
218,219,F,divorced,28.94,0,IT,tertiary,9185.92,23511.0,1782.03,None,5.019417943718863
219,220,M,married,38.32,4,finance,secondary,2834.5,13840.58,1621.68,A,4.78240707137135
220,221,F,married,64.08,0,government,tertiary,3532.75,24530.75,1575.74,None,4.839523940576487
221,222,F,married,64.38,4,construct,tertiary,3532.75,24530.75,1575.74,None,4.838624657264539
222,223,M,single,27.01,0,finance,tertiary,6845.55,24968.19,2027.0,None,5.157595495558676
223,224,F,married,31.78,0,manuf,secondary,1487.43,12210.94,952.73,A,4.251880045025989
224,225,M,single,39.76,0,government,tertiary,4331.79,24014.18,1500.92,None,5.115609065445225
225,226,F,married,41.04,1,manuf,secondary,3826.66,19680.21,752.83,None,4.526467674502492
226,227,F,married,40.29,0,finance,postgrad,5914.94,19348.1,3012.47,None,5.266847136845762
227,228,F,single,28.24,0,education,secondary,1991.69,4492.65,303.23,None,3.590431733447827
228,229,F,divorced,63.93,0,medicine,professional,11960.26,61138.6,6896.69,None,6.134109340940051
229,230,M,widowed,85.45,3,retired,tertiary,2532.79,15022.52,842.1,None,3.876619036157476
230,231,M,married,37.02,2,government,secondary,2120.58,14361.43,838.99,None,4.486671359325024
231,232,M,married,40.39,2,legal,secondary,3621.7,17251.08,1817.26,None,4.975242606864626
232,233,M,widowed,44.81,2,government,tertiary,5658.75,19880.98,2343.09,None,5.357896748677832
233,234,F,single,38.03,0,finance,postgrad,7109.13,29609.07,3001.48,None,5.466816675382269
234,235,M,widowed,62.13,2,education,tertiary,3993.99,21914.89,1784.22,None,5.0105188314467695
235,236,F,widowed,79.38,2,retired,secondary,1440.97,9955.54,1124.78,None,3.7526066151879793
236,237,F,widowed,80.8,0,retired,postgrad,4001.88,28406.52,1328.02,None,4.410317924829175
237,238,F,single,23.36,0,construct,postgrad,4001.88,28406.52,1328.02,None,4.9764616062441425
238,239,F,married,40.37,2,construct,tertiary,4001.88,28406.52,1328.02,A,4.976394474708039
239,240,M,married,31.98,1,manuf,secondary,3880.48,11596.28,211.76,None,3.990324381455765
240,241,F,single,28.25,0,finance,tertiary,4995.42,24000.3,1621.18,None,4.963797462150179
241,242,M,single,30.89,0,legal,tertiary,7551.81,22593.02,2691.9,None,5.252367929362512
242,243,M,divorced,69.94,1,retired,tertiary,4437.68,21442.62,473.72,None,4.019763928737522
243,244,M,single,44.81,0,IT,postgrad,9134.84,47529.84,3537.32,None,5.836256925062429
244,245,F,single,31.29,0,government,tertiary,5416.61,20017.6,2437.66,None,5.084493739364234
245,246,M,married,47.35,2,manuf,tertiary,2866.3,18821.0,1161.29,A,4.917188747570679
246,247,M,widowed,65.3,1,retired,postgrad,2767.03,10176.98,1795.02,None,4.2548878707731665
247,248,F,married,54.5,2,IT,secondary,1391.94,18549.12,1724.06,None,4.710761302615441
248,249,M,widowed,43.35,0,finance,secondary,1662.56,14508.79,1197.35,None,4.76079132023438
249,250,M,divorced,47.78,0,medicine,postgrad,9390.82,17968.03,2414.97,None,5.331580762802595
250,251,M,married,38.65,1,education,secondary,1996.59,18509.98,475.83,A,4.428148430790044
251,252,F,married,28.9,0,manuf,tertiary,6966.33,21990.4,2153.95,None,4.991104494407387
252,253,M,married,39.86,0,manuf,professional,6084.82,42728.23,5584.11,None,5.8209105081723305
253,254,M,married,28.13,4,medicine,secondary,3821.92,21615.32,823.58,None,4.614019446819059
254,255,M,single,44.6,0,IT,postgrad,13794.92,13342.87,3221.08,None,5.41478826785279
255,256,F,divorced,38.99,3,manuf,secondary,1770.34,20869.3,926.4,None,4.639241544217878
256,257,F,married,38.52,2,IT,secondary,1525.86,16513.18,1277.17,None,4.5850693546232355
257,258,F,single,28.32,0,finance,postgrad,9067.76,40767.69,3553.09,None,5.48484634262379
258,259,F,married,48.01,2,manuf,tertiary,5584.26,20010.4,1482.22,None,4.914279403557542
259,260,F,married,55.78,2,construct,tertiary,5584.26,20010.4,1482.22,A,4.800443512222782
260,261,F,divorced,57.43,3,government,secondary,3149.69,12134.08,795.49,None,4.279533626975555
261,262,F,divorced,45.16,2,government,postgrad,7311.08,18248.45,3152.17,None,5.440173131971532
262,263,M,single,24.62,0,manuf,secondary,2333.57,9458.71,295.89,None,3.915242823049295
263,264,M,married,44.42,3,legal,postgrad,16074.76,38266.96,3526.25,A,5.828387495846146
264,265,F,married,58.6,1,finance,tertiary,7307.93,20024.65,2774.01,None,5.052046317425614
265,266,F,married,38.95,2,IT,tertiary,5981.44,27497.47,1459.83,A,4.996588250719219
266,267,F,divorced,27.56,2,government,postgrad,2536.2,25039.67,3442.84,None,5.303114089794965
267,268,M,married,40.01,2,medicine,secondary,3233.24,20215.56,1121.44,A,4.821746739975894
268,269,M,married,23.99,3,construct,professional,3233.24,20215.56,1121.44,None,4.8409026468956595
269,270,F,divorced,45.87,2,finance,tertiary,6179.19,21269.47,1503.78,None,5.0833372750172705
270,271,M,married,30.84,0,government,secondary,1941.58,15737.93,215.52,None,4.091473882066474
271,272,F,widowed,65.63,2,retired,postgrad,4009.99,10476.27,509.94,None,3.713659235281056
272,273,F,divorced,44.97,3,finance,tertiary,6695.0,20729.48,2259.65,None,5.285974175148101
273,274,F,single,32.22,0,manuf,secondary,2980.29,12719.64,893.49,None,4.349285487296464
274,275,M,married,50.55,2,finance,postgrad,6265.25,36320.75,3731.41,A,5.626312715757518
275,276,F,widowed,50.42,1,construct,tertiary,6265.25,36320.75,3731.41,None,5.476834289195539
276,277,F,single,35.89,0,manuf,tertiary,2212.73,11873.57,1080.16,None,4.501063470837396
277,278,F,married,37.98,4,government,secondary,1181.14,19858.82,823.23,None,4.468396458820918
278,279,M,married,50.27,2,IT,postgrad,12644.42,17608.87,3388.32,None,5.385174097077481
279,280,F,single,26.22,0,construct,postgrad,12644.42,17608.87,3388.32,B,5.206924251568013
280,281,F,married,28.46,2,legal,secondary,3647.41,25342.83,2610.19,None,5.016240001517703
281,282,F,single,43.63,0,education,secondary,1268.31,14855.89,684.0,None,4.476267085140288
282,283,F,married,46.83,4,finance,tertiary,5715.3,10225.96,1579.61,None,4.678003214219333
283,284,F,widowed,74.28,1,retired,secondary,1445.29,11096.25,820.81,None,3.707300271492866
284,285,M,divorced,65.7,1,retired,tertiary,4642.65,12208.85,1339.7,None,4.173627974047844
285,286,M,single,45.27,0,government,tertiary,5406.25,15012.63,1084.38,None,4.87963054300157
286,287,M,divorced,42.84,0,manuf,tertiary,6321.12,19969.13,1572.46,None,5.1469123539311
287,288,F,married,40.07,1,government,tertiary,2627.26,19714.35,1404.2,A,4.838564394155191
288,289,F,married,69.09,1,retired,secondary,1932.81,9124.46,781.4,A,3.563974927183453
289,290,M,married,36.25,0,medicine,secondary,2126.57,9519.55,1788.15,A,4.624858759479716
290,291,M,widowed,44.25,3,manuf,secondary,4497.39,12198.9,881.98,None,4.615979021725326
291,292,F,married,59.34,2,IT,tertiary,5897.32,30069.58,724.83,A,4.633633653646546
292,293,M,widowed,62.99,2,legal,tertiary,2804.96,31031.11,2590.77,None,5.2703376192207045
293,294,M,divorced,62.22,2,government,secondary,2488.64,10866.6,968.54,None,4.348772989216851
294,295,M,single,20.46,0,legal,postgrad,7573.42,27623.04,4959.68,B,5.504515309596345
