index, sex, mstatus, age, children, occupation, education, income, avbal, avtrans,status,score,status_multiplier,expected_profit
3267,M,single,23.86,0,legal,tertiary,4932.0,31044.48,2907.55,B,4.44,1.0,4.44
2486,M,single,26.64,0,medicine,tertiary,7883.39,40924.4,2070.51,B,4.43,1.0,4.43
4905,M,single,24.01,0,medicine,tertiary,8342.05,36571.76,2171.43,B,4.4,1.0,4.4
3900,M,divorced,33.8,1,legal,tertiary,6764.89,29960.15,2526.7,B,4.4,1.0,4.4
2531,F,single,18.43,0,legal,tertiary,11697.83,31000.34,2861.78,B,4.38,1.0,4.38
2491,M,single,22.7,0,manuf,professional,9826.88,30205.13,3829.71,B,4.37,1.0,4.37
4160,F,single,18.66,0,finance,tertiary,9500.83,28145.32,2949.99,B,4.35,1.0,4.35
3582,M,single,19.98,0,legal,tertiary,6658.17,28885.78,2521.68,B,4.35,1.0,4.35
2323,F,single,29.47,0,government,postgrad,12488.47,38699.72,2702.9,B,4.34,1.0,4.34
4149,F,single,19.39,0,legal,tertiary,6933.38,33298.97,2479.82,B,4.33,1.0,4.33
2574,M,single,21.03,0,medicine,tertiary,10604.03,29717.48,2259.08,B,4.33,1.0,4.33
1065,M,single,21.99,0,legal,tertiary,10435.02,32261.0,2114.47,B,4.33,1.0,4.33
4660,M,single,25.34,0,legal,tertiary,7044.76,29295.08,2334.03,B,4.33,1.0,4.33
4182,M,single,27.33,0,legal,tertiary,7086.54,32505.16,2048.36,B,4.32,1.0,4.32
3379,F,single,21.68,0,medicine,tertiary,11417.49,30237.18,2474.62,B,4.31,1.0,4.31
3905,M,single,20.7,0,finance,tertiary,8755.92,24057.22,2609.64,B,4.29,1.0,4.29
3601,M,single,18.33,0,legal,tertiary,7075.8,19753.74,3235.07,B,4.29,1.0,4.29
1384,M,single,20.27,0,legal,tertiary,9416.54,25545.07,2407.1,B,4.28,1.0,4.28
3615,M,single,24.18,0,legal,tertiary,11620.83,31472.82,1915.85,B,4.28,1.0,4.28
1786,F,single,27.86,0,government,postgrad,11236.7,37255.43,2484.54,B,4.28,1.0,4.28
4194,F,single,25.02,0,legal,tertiary,6997.57,29969.22,2335.81,B,4.27,1.0,4.27
1821,F,single,21.59,0,legal,tertiary,3281.89,35993.53,2062.7,B,4.26,1.0,4.26
3026,M,single,19.87,0,legal,tertiary,6109.41,30874.21,1915.38,B,4.25,1.0,4.25
4058,M,divorced,33.65,3,manuf,professional,3790.03,36967.04,2353.71,B,4.24,1.0,4.24
1048,M,divorced,41.09,3,manuf,postgrad,10173.3,29034.73,2359.88,B,4.24,1.0,4.24
1699,M,single,18.82,0,legal,tertiary,7434.14,34596.05,1611.45,B,4.23,1.0,4.23
3524,M,single,20.33,0,finance,tertiary,5997.97,22593.05,2503.05,B,4.22,1.0,4.22
4860,F,single,27.67,0,IT,tertiary,6041.19,27546.34,2323.73,B,4.22,1.0,4.22
4987,F,single,20.94,0,manuf,postgrad,5594.84,28462.19,3569.49,B,4.21,1.0,4.21
3132,M,single,21.69,0,IT,tertiary,7204.37,21950.87,2326.22,B,4.19,1.0,4.19
2290,M,single,28.0,0,legal,tertiary,5066.47,31337.98,1578.08,B,4.18,1.0,4.18
3057,M,single,23.08,0,finance,tertiary,7185.15,24141.07,2024.35,B,4.17,1.0,4.17
2506,M,single,22.09,0,finance,tertiary,6169.03,24043.24,2014.73,B,4.16,1.0,4.16
2364,F,single,19.0,0,medicine,tertiary,8042.44,21153.34,2587.34,B,4.15,1.0,4.15
1480,M,single,23.75,0,finance,tertiary,8048.04,23459.01,1910.67,B,4.14,1.0,4.14
4284,M,single,21.6,0,IT,tertiary,7520.23,19259.63,2350.38,B,4.14,1.0,4.14
1351,F,single,28.85,0,legal,tertiary,6899.05,32943.98,1519.11,B,4.13,1.0,4.13
3931,F,single,29.68,0,IT,tertiary,7623.89,25090.29,2013.05,B,4.13,1.0,4.13
2269,F,single,28.42,0,IT,tertiary,9263.28,17073.36,2902.0,B,4.13,1.0,4.13
2307,F,single,20.83,0,government,postgrad,4836.99,26325.44,2731.48,B,4.12,1.0,4.12
2877,F,single,22.22,0,government,postgrad,7971.01,25108.56,2688.11,B,4.11,1.0,4.11
3809,F,single,26.15,0,medicine,tertiary,10324.46,35264.73,1286.67,B,4.11,1.0,4.11
4715,F,single,28.0,0,government,postgrad,8323.6,24455.96,2620.33,B,4.1,1.0,4.1
1171,M,single,23.72,0,medicine,tertiary,10310.93,21226.83,1876.78,B,4.09,1.0,4.09
4111,F,single,20.18,0,medicine,tertiary,9122.26,14353.42,3162.93,B,4.09,1.0,4.09
4091,M,single,24.26,0,manuf,postgrad,12877.39,24941.48,2449.34,B,4.08,1.0,4.08
1497,F,single,20.32,0,medicine,tertiary,6772.39,22816.7,2077.06,B,4.08,1.0,4.08
1914,M,single,19.22,0,manuf,tertiary,7877.54,39029.01,1825.82,B,4.07,1.0,4.07
4247,M,single,26.61,0,medicine,tertiary,8331.16,18160.47,2099.88,B,4.07,1.0,4.07
2749,M,single,23.68,0,manuf,postgrad,11894.39,24037.3,2453.65,B,4.06,1.0,4.06
3009,F,single,25.73,0,government,postgrad,3800.36,24994.75,2497.24,B,4.05,1.0,4.05
1101,F,single,27.26,0,IT,tertiary,6454.63,17717.58,2407.97,B,4.04,1.0,4.04
2690,M,single,22.41,0,government,tertiary,3828.52,39758.63,1524.16,B,4.04,1.0,4.04
2568,M,single,34.19,0,manuf,tertiary,4695.28,33641.32,1886.26,B,4.03,1.0,4.03
3654,F,single,27.88,0,IT,tertiary,6143.89,27405.98,1492.19,B,4.03,1.0,4.03
3661,F,single,29.35,0,government,postgrad,8176.33,26074.3,2088.39,B,4.03,1.0,4.03
4522,M,single,36.59,0,manuf,tertiary,5305.91,38276.09,1500.0,B,4.02,1.0,4.02
3385,M,single,18.47,0,finance,tertiary,5849.51,23878.28,1434.82,B,4.01,1.0,4.01
2537,F,single,26.33,0,IT,tertiary,7609.14,24010.43,1603.31,B,4.01,1.0,4.01
1972,M,single,28.02,0,manuf,tertiary,6681.22,27948.18,2174.72,B,4.0,1.0,4.0
1858,M,single,19.86,0,manuf,postgrad,11538.29,25640.1,1960.61,B,3.98,1.0,3.98
3638,M,divorced,28.61,1,government,tertiary,5001.42,33044.58,1506.36,B,3.98,1.0,3.98
2863,F,single,19.05,0,medicine,tertiary,5084.03,30177.69,1233.25,B,3.98,1.0,3.98
4718,F,single,25.38,0,IT,tertiary,7108.78,19343.58,1863.72,B,3.97,1.0,3.97
1599,F,single,21.59,0,IT,tertiary,5417.15,16381.79,2261.73,B,3.97,1.0,3.97
4811,F,divorced,27.03,0,government,postgrad,11448.0,29623.86,1547.82,B,3.96,1.0,3.96
3453,M,single,18.77,0,IT,tertiary,4057.51,15692.69,2003.45,B,3.95,1.0,3.95
1888,M,single,27.74,0,manuf,tertiary,3760.82,37346.59,1496.75,B,3.95,1.0,3.95
1510,F,single,20.59,0,medicine,tertiary,5760.31,15851.42,2192.41,B,3.94,1.0,3.94
1773,M,single,25.98,0,medicine,tertiary,9778.7,14931.1,1852.41,B,3.94,1.0,3.94
1389,F,divorced,31.73,1,government,tertiary,5923.34,35346.46,1443.78,B,3.94,1.0,3.94
1035,F,single,22.06,0,government,tertiary,6749.49,31665.16,1562.2,B,3.91,1.0,3.91
2140,M,single,22.5,0,manuf,tertiary,6471.03,32963.49,1457.08,B,3.9,1.0,3.9
2245,M,single,27.91,0,manuf,tertiary,5029.36,24347.51,2059.35,B,3.9,1.0,3.9
2695,F,single,24.68,0,government,tertiary,5177.35,33675.6,1439.02,B,3.89,1.0,3.89
1864,F,single,25.07,0,government,tertiary,4885.05,32161.35,1395.34,B,3.86,1.0,3.86
3676,M,single,23.22,0,manuf,tertiary,6245.39,19780.75,2332.36,B,3.86,1.0,3.86
4471,M,single,28.0,0,government,tertiary,5032.71,36737.85,910.12,B,3.85,1.0,3.85
3455,F,single,27.62,0,manuf,postgrad,6045.18,16467.27,2665.31,B,3.85,1.0,3.85
1092,F,single,20.26,0,finance,tertiary,6102.69,22341.07,1224.25,B,3.85,1.0,3.85
3006,F,single,32.5,0,IT,tertiary,9329.11,12677.43,1909.74,B,3.84,1.0,3.84
1671,F,single,25.92,0,manuf,postgrad,3960.13,17059.77,2536.76,B,3.82,1.0,3.82
2472,F,single,27.52,0,IT,tertiary,6125.41,10156.36,2313.22,B,3.81,1.0,3.81
3711,F,single,24.69,0,manuf,postgrad,6112.06,22546.11,1802.87,B,3.81,1.0,3.81
4514,F,single,26.74,0,government,postgrad,8000.0,22225.24,1489.59,B,3.8,1.0,3.8
1978,M,single,24.69,0,manuf,tertiary,5058.16,21194.56,1838.8,B,3.78,1.0,3.78
2969,M,single,20.73,0,government,tertiary,4646.57,22317.46,1500.4,B,3.78,1.0,3.78
3351,M,single,27.4,0,manuf,tertiary,4996.25,24873.73,1493.13,B,3.77,1.0,3.77
1024,M,single,23.04,0,finance,tertiary,8302.74,22384.38,684.36,B,3.76,1.0,3.76
1815,F,single,20.19,0,finance,tertiary,6844.59,23996.56,762.24,B,3.74,1.0,3.74
3606,F,single,20.66,0,government,tertiary,5159.07,26943.04,1248.71,B,3.73,1.0,3.73
4814,M,single,24.53,0,manuf,tertiary,5189.64,19910.85,1672.13,B,3.71,1.0,3.71
4920,M,single,19.05,0,government,tertiary,6013.2,18606.18,1485.35,B,3.7,1.0,3.7
1028,M,single,21.74,0,government,tertiary,4081.58,28519.68,858.28,B,3.69,1.0,3.69
3263,F,single,30.34,0,IT,tertiary,8125.09,24769.45,516.8,B,3.68,1.0,3.68
2771,F,single,21.13,0,government,tertiary,5039.13,21184.26,1348.39,B,3.65,1.0,3.65
4667,F,single,21.98,0,government,tertiary,2167.32,25779.39,1156.79,B,3.65,1.0,3.65
3404,M,single,19.53,0,manuf,postgrad,8023.9,8328.88,2256.41,B,3.6,1.0,3.6
1940,F,single,18.2,0,finance,secondary,1634.55,13732.96,1587.51,B,3.59,1.0,3.59
3539,F,single,19.61,0,finance,secondary,2543.23,15355.08,1299.33,B,3.58,1.0,3.58
2815,F,single,19.89,0,finance,secondary,3362.2,16169.74,1209.59,B,3.58,1.0,3.58
1546,M,single,22.72,0,IT,tertiary,9146.16,13585.33,761.18,B,3.58,1.0,3.58
2834,F,single,22.07,0,finance,tertiary,5941.37,19420.47,570.93,B,3.57,1.0,3.57
1426,F,single,18.82,0,government,postgrad,5643.86,6320.84,2526.57,B,3.56,1.0,3.56
4656,M,single,20.27,0,government,tertiary,6690.21,20000.0,832.78,B,3.54,1.0,3.54
3831,M,single,21.7,0,manuf,tertiary,5436.31,19906.08,979.72,B,3.52,1.0,3.52
1835,F,single,29.8,0,IT,tertiary,6017.83,12770.99,832.25,B,3.51,1.0,3.51
2684,F,single,19.82,0,manuf,postgrad,4680.19,6047.49,2544.5,B,3.48,1.0,3.48
2899,M,single,19.79,0,education,secondary,2347.05,14298.75,859.05,B,3.47,1.0,3.47
4483,M,single,21.91,0,education,secondary,2387.47,14621.39,815.87,B,3.47,1.0,3.47
1010,F,single,23.16,0,IT,tertiary,2737.99,13859.05,776.99,B,3.47,1.0,3.47
3695,M,single,22.14,0,manuf,tertiary,2203.2,20314.88,865.97,B,3.45,1.0,3.45
4165,M,divorced,30.93,3,government,secondary,3741.26,20344.0,691.51,B,3.39,1.0,3.39
1164,M,single,18.68,0,government,secondary,1706.07,14186.53,1033.9,B,3.31,1.0,3.31
2844,F,single,21.58,0,government,secondary,3248.7,13491.13,928.98,B,3.22,1.0,3.22
1450,M,single,24.8,0,government,secondary,3730.83,13210.28,601.99,B,3.17,1.0,3.17
1827,M,single,19.27,0,government,secondary,2221.18,15105.47,466.18,B,3.13,1.0,3.13
3780,F,single,25.96,0,education,secondary,2178.59,10969.85,384.51,B,3.12,1.0,3.12
2003,F,single,19.13,0,education,secondary,1095.59,11442.59,330.13,B,3.08,1.0,3.08
1214,M,single,19.26,0,medicine,professional,16160.29,60151.32,5292.73,A,5.06,0.6,3.0359999999999996
2011,M,married,39.73,2,legal,postgrad,5704.01,57847.53,4500.96,A,5.05,0.6,3.03
4401,F,single,22.96,0,government,secondary,2487.1,13272.62,460.01,B,3.02,1.0,3.02
1919,M,married,46.59,2,legal,postgrad,6453.44,42298.11,3951.48,A,5.02,0.6,3.0119999999999996
4133,M,married,41.66,2,legal,postgrad,16506.03,40995.4,5046.96,A,5.02,0.6,3.0119999999999996
3083,M,married,40.0,0,legal,postgrad,8192.71,39999.23,5747.33,A,5.01,0.6,3.006
2376,M,single,19.41,0,government,secondary,2965.28,5971.83,817.79,B,2.99,1.0,2.99
3168,M,married,40.02,0,medicine,postgrad,10365.77,44906.62,4469.14,A,4.98,0.6,2.988
2275,M,married,59.27,1,legal,postgrad,13890.54,59271.23,3909.0,A,4.97,0.6,2.9819999999999998
2033,F,single,18.72,0,government,secondary,2102.04,12025.31,472.06,B,2.98,1.0,2.98
2999,M,married,39.93,0,medicine,postgrad,15575.95,40445.54,4598.42,A,4.95,0.6,2.97
3839,M,divorced,37.98,3,medicine,postgrad,16575.61,42905.44,4007.55,A,4.9,0.6,2.94
3979,F,married,55.35,2,legal,professional,11351.92,59930.54,5954.57,A,4.89,0.6,2.9339999999999997
1335,M,married,46.91,0,medicine,tertiary,10486.98,44494.3,3132.39,A,4.88,0.6,2.928
2962,M,married,38.39,2,legal,postgrad,9716.73,40142.47,4163.75,A,4.88,0.6,2.928
4838,M,married,38.18,0,IT,professional,16873.74,26372.92,6125.62,A,4.84,0.6,2.904
4925,M,married,36.9,0,legal,postgrad,4042.03,42001.63,3946.09,A,4.83,0.6,2.898
2882,M,married,37.32,2,legal,postgrad,9997.93,40038.77,3658.36,A,4.81,0.6,2.8859999999999997
4481,M,married,27.87,2,legal,postgrad,12721.62,34393.84,4907.25,A,4.81,0.6,2.8859999999999997
3730,M,married,41.84,0,medicine,postgrad,11882.82,40171.24,3111.32,A,4.8,0.6,2.88
3101,F,married,35.03,0,legal,postgrad,9580.19,50050.05,5758.28,A,4.78,0.6,2.868
4921,M,married,46.2,2,manuf,professional,12220.45,55606.33,3287.57,A,4.77,0.6,2.8619999999999997
3303,M,married,47.88,3,finance,professional,10899.61,34829.75,2520.81,A,4.73,0.6,2.838
2207,M,married,26.68,1,legal,postgrad,9822.73,54247.76,2601.97,A,4.72,0.6,2.832
1027,M,married,59.33,2,legal,postgrad,10497.62,44744.61,2768.2,A,4.71,0.6,2.826
1353,F,married,46.73,1,medicine,professional,6927.25,34780.62,4306.22,A,4.71,0.6,2.826
4828,F,married,49.46,1,IT,professional,6509.8,33716.99,5398.81,A,4.71,0.6,2.826
2437,M,married,39.74,0,medicine,postgrad,9773.91,39982.53,2690.26,A,4.7,0.6,2.82
4956,M,married,41.95,0,education,postgrad,6265.11,34714.37,2917.61,A,4.69,0.6,2.814
2744,F,married,46.85,0,legal,postgrad,13391.3,38465.3,3346.68,A,4.66,0.6,2.796
4052,F,married,42.44,0,medicine,postgrad,4912.98,44630.0,3857.94,A,4.65,0.6,2.79
3971,M,married,39.91,1,legal,postgrad,10070.08,31831.41,2983.23,A,4.65,0.6,2.79
2089,F,married,26.01,0,legal,postgrad,3956.46,61422.29,4010.37,A,4.64,0.6,2.784
2838,M,single,18.02,0,government,secondary,3808.48,5684.39,329.37,B,2.78,1.0,2.78
1628,M,married,61.17,1,legal,postgrad,5297.12,38198.26,2935.94,A,4.63,0.6,2.778
2750,F,married,40.56,0,legal,postgrad,12397.32,46343.45,3398.03,A,4.61,0.6,2.766
2681,M,married,40.0,0,legal,postgrad,9999.4,19900.15,4450.02,A,4.61,0.6,2.766
1045,F,married,28.62,2,legal,postgrad,10001.84,40463.27,4705.42,A,4.6,0.6,2.76
1841,F,married,37.29,0,legal,postgrad,7655.03,43117.43,3944.61,A,4.6,0.6,2.76
1974,F,married,57.92,1,IT,professional,9951.07,34387.58,5050.13,A,4.59,0.6,2.754
4224,F,married,41.63,1,government,professional,8027.95,43453.62,5626.57,A,4.58,0.6,2.7479999999999998
2464,F,married,28.07,3,government,professional,11968.81,52477.87,6196.94,A,4.58,0.6,2.7479999999999998
1064,F,married,25.01,0,legal,postgrad,6721.91,39752.21,4669.36,A,4.56,0.6,2.7359999999999998
4578,F,married,43.78,0,medicine,postgrad,10017.21,31094.04,3988.04,A,4.55,0.6,2.73
2790,F,married,24.8,0,legal,postgrad,5576.58,39638.29,4400.11,A,4.53,0.6,2.718
2049,M,married,39.53,4,manuf,professional,12539.68,23145.97,6355.88,A,4.52,0.6,2.7119999999999997
1698,M,married,38.32,2,legal,postgrad,5091.97,18236.19,4233.37,A,4.51,0.6,2.706
2397,F,married,42.73,2,legal,tertiary,8345.14,35749.24,3907.31,A,4.5,0.6,2.6999999999999997
3896,M,married,29.04,2,legal,postgrad,9229.83,17843.94,4442.96,A,4.48,0.6,2.688
3637,F,married,38.51,2,IT,postgrad,8986.99,30237.19,4081.09,A,4.47,0.6,2.682
3925,M,married,31.98,1,legal,postgrad,10042.51,33808.37,2115.09,A,4.45,0.6,2.67
3252,M,married,46.23,3,manuf,professional,4658.5,21990.12,4003.55,A,4.44,0.6,2.664
4482,M,married,39.46,2,construct,secondary,12721.62,34393.84,4907.25,A,4.43,0.6,2.658
3527,F,married,55.15,1,finance,professional,6718.63,25421.34,4470.64,A,4.42,0.6,2.6519999999999997
2325,F,married,46.27,1,IT,postgrad,3568.11,23005.21,3778.58,A,4.42,0.6,2.6519999999999997
4072,F,married,58.13,0,construct,tertiary,12625.48,49295.63,5184.89,A,4.41,0.6,2.646
1613,F,married,32.64,2,IT,postgrad,4113.91,29988.13,4309.33,A,4.41,0.6,2.646
4321,F,married,56.66,2,government,professional,13094.78,41577.53,4142.19,A,4.4,0.6,2.64
4259,F,married,29.29,2,IT,postgrad,8985.52,40364.78,3039.89,A,4.4,0.6,2.64
4315,M,married,40.2,2,finance,tertiary,6436.18,37930.21,1741.46,A,4.4,0.6,2.64
1866,F,married,22.36,2,IT,postgrad,14578.71,38816.74,3116.72,A,4.39,0.6,2.634
3228,F,married,22.22,0,legal,postgrad,4996.8,39744.54,3249.83,A,4.39,0.6,2.634
4537,F,married,38.99,1,government,professional,7332.76,37219.85,4390.32,A,4.39,0.6,2.634
1844,M,married,25.7,2,IT,tertiary,5320.13,23998.9,3264.33,A,4.38,0.6,2.6279999999999997
2720,F,married,40.53,2,legal,tertiary,6998.63,43717.07,2641.51,A,4.37,0.6,2.622
2161,M,married,21.81,2,IT,postgrad,7133.24,24505.43,2679.24,A,4.37,0.6,2.622
2577,M,married,20.71,1,legal,tertiary,9380.78,30155.19,2445.11,A,4.37,0.6,2.622
2466,F,married,30.01,2,construct,secondary,11968.81,52477.87,6196.94,A,4.35,0.6,2.61
1132,M,married,33.84,1,legal,tertiary,11339.01,41741.67,1517.41,A,4.34,0.6,2.6039999999999996
1138,F,married,62.59,2,government,professional,11468.31,38589.88,4293.4,A,4.34,0.6,2.6039999999999996
4486,M,married,60.11,1,IT,professional,13760.82,10130.93,4973.63,A,4.33,0.6,2.598
1177,F,married,39.98,2,government,professional,3674.39,31136.81,4721.18,A,4.32,0.6,2.592
4723,M,married,43.18,2,medicine,tertiary,6926.56,41565.53,1044.89,A,4.29,0.6,2.574
4755,M,married,39.92,3,manuf,professional,9576.43,28492.06,2727.41,A,4.28,0.6,2.568
4766,M,married,34.92,0,medicine,postgrad,3015.67,22604.22,2309.94,A,4.28,0.6,2.568
2575,F,married,46.46,2,legal,tertiary,2798.99,43531.06,1777.19,A,4.28,0.6,2.568
1995,F,married,64.24,0,finance,postgrad,14052.3,29146.58,3099.79,A,4.27,0.6,2.562
3986,M,married,35.61,2,legal,tertiary,11836.42,46907.68,971.43,A,4.24,0.6,2.544
4808,M,married,46.77,1,medicine,secondary,2366.25,27766.59,1771.76,A,4.23,0.6,2.5380000000000003
3461,F,married,38.09,2,legal,tertiary,7248.19,34304.78,2500.09,A,4.22,0.6,2.5319999999999996
1095,F,married,43.38,2,legal,tertiary,5042.59,30002.48,2546.88,A,4.22,0.6,2.5319999999999996
2183,M,married,35.45,3,IT,tertiary,6156.12,24890.49,2035.59,A,4.22,0.6,2.5319999999999996
4903,M,married,54.16,2,manuf,postgrad,8636.36,27037.69,2541.33,A,4.21,0.6,2.526
1953,M,married,38.73,1,education,tertiary,3999.15,33324.79,1352.07,A,4.2,0.6,2.52
4764,M,married,24.76,1,legal,secondary,4763.45,30326.55,2223.66,A,4.2,0.6,2.52
3860,F,married,29.31,2,legal,tertiary,3817.63,44482.93,2176.91,A,4.19,0.6,2.5140000000000002
4262,F,married,40.79,2,IT,tertiary,6123.38,22245.41,3444.68,A,4.19,0.6,2.5140000000000002
4075,F,married,44.48,3,finance,tertiary,7326.87,32765.06,2012.5,A,4.19,0.6,2.5140000000000002
4600,M,married,38.8,0,medicine,secondary,4972.74,22973.24,2483.62,A,4.18,0.6,2.5079999999999996
2371,F,married,34.44,2,construct,professional,7856.06,46329.71,2790.83,A,4.17,0.6,2.502
3737,F,married,39.82,2,IT,tertiary,6130.45,24564.67,3081.92,A,4.17,0.6,2.502
3210,M,married,37.8,0,education,tertiary,4057.1,34532.84,1205.43,A,4.16,0.6,2.496
2831,F,married,46.34,2,IT,tertiary,6638.81,15882.77,3511.83,A,4.16,0.6,2.496
2441,M,married,34.84,2,IT,tertiary,6116.28,17258.63,2504.46,A,4.15,0.6,2.49
2866,M,married,52.46,0,medicine,secondary,3483.91,33683.22,1394.3,A,4.14,0.6,2.4839999999999995
4881,M,married,45.34,1,government,tertiary,7847.13,30210.29,1574.59,A,4.14,0.6,2.4839999999999995
1309,M,married,35.14,2,construct,professional,10515.46,16979.32,3705.84,A,4.14,0.6,2.4839999999999995
4750,M,married,40.16,2,construct,postgrad,9100.28,16982.48,3303.1,A,4.13,0.6,2.4779999999999998
4602,M,married,56.26,3,manuf,professional,4895.08,28685.11,2254.66,A,4.13,0.6,2.4779999999999998
4433,F,married,40.08,3,government,professional,7410.18,23741.1,3813.56,A,4.13,0.6,2.4779999999999998
3677,M,married,25.56,0,legal,tertiary,10260.4,35395.14,1114.47,A,4.13,0.6,2.4779999999999998
2667,M,married,31.02,1,legal,tertiary,7411.52,27703.36,1478.36,A,4.12,0.6,2.472
3586,F,married,53.6,2,IT,tertiary,5755.46,27183.44,2447.51,A,4.12,0.6,2.472
4213,M,married,40.21,1,government,tertiary,5004.41,35806.08,1584.18,A,4.11,0.6,2.466
1909,F,married,62.35,2,education,postgrad,5824.05,21003.22,3196.21,A,4.11,0.6,2.466
1063,F,married,40.35,2,construct,professional,8985.0,32613.1,3017.52,A,4.11,0.6,2.466
3658,F,married,38.85,2,construct,postgrad,5147.8,33935.66,3097.83,A,4.11,0.6,2.466
4835,M,married,29.61,1,education,tertiary,4059.15,37275.38,1075.45,A,4.11,0.6,2.466
3360,M,married,32.23,3,government,professional,4646.04,24948.49,2176.51,A,4.09,0.6,2.4539999999999997
2841,M,married,30.38,2,medicine,secondary,4732.21,24493.87,2119.83,A,4.09,0.6,2.4539999999999997
1127,F,married,29.12,0,government,postgrad,6036.18,33301.53,3005.17,A,4.09,0.6,2.4539999999999997
2337,M,married,31.44,1,medicine,secondary,615.68,29551.14,2001.58,A,4.09,0.6,2.4539999999999997
3142,M,married,23.31,2,medicine,secondary,2880.73,20074.72,2677.53,A,4.08,0.6,2.448
1386,F,married,25.05,3,IT,professional,14823.99,23619.03,2563.58,A,4.08,0.6,2.448
3609,M,married,36.13,2,IT,tertiary,9069.81,24841.44,1389.41,A,4.08,0.6,2.448
3308,M,married,24.47,2,IT,tertiary,5979.78,20251.57,1967.58,A,4.07,0.6,2.442
3694,M,married,35.29,0,construct,secondary,13323.66,42042.22,1863.74,A,4.06,0.6,2.4359999999999995
3166,F,married,59.03,1,IT,tertiary,7211.81,25190.41,2488.96,A,4.05,0.6,2.4299999999999997
3953,M,married,30.95,1,construct,secondary,8388.07,34632.2,2363.37,A,4.05,0.6,2.4299999999999997
2547,M,married,23.52,1,IT,tertiary,6149.41,25865.55,1390.07,A,4.04,0.6,2.424
1091,F,married,39.45,2,IT,tertiary,3325.09,18041.64,3299.85,A,4.04,0.6,2.424
1245,M,married,51.6,2,medicine,secondary,2017.0,19970.42,1945.52,A,4.03,0.6,2.418
4319,F,married,45.84,1,government,tertiary,7649.88,34605.84,1954.4,A,4.03,0.6,2.418
1232,M,married,34.98,1,medicine,secondary,3176.01,21446.58,2115.67,A,4.03,0.6,2.418
2358,F,married,62.38,1,government,professional,5783.53,31940.42,2718.31,A,4.02,0.6,2.4119999999999995
2822,F,married,33.93,2,construct,tertiary,9925.85,30000.0,3580.32,A,4.02,0.6,2.4119999999999995
1329,M,married,61.73,1,construct,postgrad,6421.37,21192.32,2502.32,A,4.01,0.6,2.4059999999999997
3963,M,married,61.19,1,medicine,secondary,3101.46,20644.23,2069.24,A,4.01,0.6,2.4059999999999997
2010,M,married,63.25,1,manuf,tertiary,3394.58,29043.42,2142.76,A,3.99,0.6,2.394
4561,F,married,22.08,0,IT,tertiary,6179.91,17259.55,3496.08,A,3.99,0.6,2.394
2279,F,married,39.94,3,finance,tertiary,6016.06,25557.94,2008.32,A,3.99,0.6,2.394
1115,M,married,52.21,1,government,tertiary,5524.66,19966.96,2016.36,A,3.98,0.6,2.388
3914,M,married,40.3,0,medicine,secondary,2184.81,20938.27,1791.57,A,3.98,0.6,2.388
4812,M,married,41.71,3,finance,tertiary,6847.56,29104.34,654.24,A,3.97,0.6,2.382
