 sex, mstatus, age, children, occupation, education, income, avbal, avtrans,status,score,status_multiplier,expected_profit,actual_status,actual_score,actual_status_multiplier,is_status_diff,actual_profit,absolute_score_diff
M,single,28.94,0,finance,postgrad,8873.24,28933.14,2742.77,B,4.48,1.0,4.48,None,4.2,0,True,0.0,0.28000000000000025
F,single,28.0,0,construct,secondary,15014.53,40733.15,6817.75,B,4.47,1.0,4.47,None,6.0,0,True,0.0,1.5300000000000002
M,single,22.94,0,education,postgrad,3009.62,28737.3,3055.57,B,4.47,1.0,4.47,None,3.8,0,True,0.0,0.6699999999999999
F,single,27.89,0,IT,postgrad,7889.72,41815.97,2211.51,B,4.47,1.0,4.47,None,4.4,0,True,0.0,0.0699999999999994
M,single,27.96,0,medicine,tertiary,7353.85,34757.3,2612.49,B,4.46,1.0,4.46,None,4.3,0,True,0.0,0.16000000000000014
F,single,28.04,0,manuf,professional,10069.64,29999.92,5652.52,B,4.46,1.0,4.46,None,5.2,0,True,0.0,0.7400000000000002
M,single,28.0,0,finance,postgrad,10482.38,29932.74,2557.16,B,4.46,1.0,4.46,B,4.2,1,False,4.2,0.2599999999999998
F,single,26.76,0,manuf,professional,8655.32,28706.6,5948.3,B,4.45,1.0,4.45,None,5.1,0,True,0.0,0.6499999999999995
F,single,27.37,0,finance,tertiary,5947.54,33438.78,3145.19,B,4.45,1.0,4.45,B,4.3,1,False,4.3,0.15000000000000036
M,single,23.94,0,manuf,professional,5210.01,25637.5,6130.17,B,4.44,1.0,4.44,None,4.8,0,True,0.0,0.35999999999999943
M,single,23.86,0,legal,tertiary,4932.0,31044.48,2907.55,B,4.44,1.0,4.44,B,3.9,1,False,3.9,0.5400000000000005
M,single,27.4,0,manuf,professional,13059.35,29420.64,4498.92,B,4.44,1.0,4.44,B,4.9,1,False,4.9,0.45999999999999996
F,single,23.95,0,IT,professional,10554.25,25626.88,3397.27,B,4.44,1.0,4.44,B,4.1,1,False,4.1,0.34000000000000075
M,single,25.21,0,medicine,tertiary,11536.24,44581.29,1880.48,B,4.43,1.0,4.43,None,4.3,0,True,0.0,0.1299999999999999
M,single,18.08,0,finance,postgrad,5897.78,29939.58,2598.58,B,4.43,1.0,4.43,None,3.5,0,True,0.0,0.9299999999999997
M,single,26.64,0,medicine,tertiary,7883.39,40924.4,2070.51,B,4.43,1.0,4.43,None,4.2,0,True,0.0,0.22999999999999954
F,single,28.39,0,medicine,tertiary,7047.45,33832.11,2946.25,B,4.43,1.0,4.43,None,4.3,0,True,0.0,0.1299999999999999
F,single,20.12,0,finance,postgrad,8970.88,29947.32,2816.56,B,4.42,1.0,4.42,None,3.8,0,True,0.0,0.6200000000000001
F,single,29.1,0,finance,postgrad,8723.15,16733.66,4858.16,B,4.42,1.0,4.42,None,4.5,0,True,0.0,0.08000000000000007
F,single,25.1,0,finance,professional,13585.81,16589.09,5011.96,B,4.42,1.0,4.42,B,4.5,1,False,4.5,0.08000000000000007
M,single,24.12,0,IT,postgrad,8481.29,29973.75,2415.78,B,4.42,1.0,4.42,None,3.9,0,True,0.0,0.52
F,single,25.41,0,education,postgrad,5842.06,38938.7,2201.01,B,4.42,1.0,4.42,B,4.1,1,False,4.1,0.3200000000000003
F,single,23.2,0,IT,professional,10815.34,12954.2,7588.6,B,4.42,1.0,4.42,None,5.0,0,True,0.0,0.5800000000000001
F,single,27.32,0,education,postgrad,5573.57,36538.71,2313.0,B,4.42,1.0,4.42,B,4.1,1,False,4.1,0.3200000000000003
M,single,27.11,0,education,postgrad,8242.51,40027.29,1715.83,B,4.41,1.0,4.41,B,4.1,1,False,4.1,0.3100000000000005
F,single,26.11,0,manuf,postgrad,7995.22,37551.44,3984.53,B,4.41,1.0,4.41,B,4.7,1,False,4.7,0.29000000000000004
M,single,23.11,0,government,professional,4514.67,39165.89,2967.05,B,4.41,1.0,4.41,None,4.1,0,True,0.0,0.3100000000000005
M,divorced,27.27,2,education,professional,9836.89,16204.76,4199.35,B,4.41,1.0,4.41,None,4.3,0,True,0.0,0.11000000000000032
M,single,25.69,0,IT,tertiary,2357.64,36344.9,2448.9,B,4.4,1.0,4.4,None,4.0,0,True,0.0,0.40000000000000036
F,divorced,28.33,2,legal,tertiary,6968.0,36390.82,2523.99,B,4.4,1.0,4.4,None,4.3,0,True,0.0,0.10000000000000053
M,single,24.01,0,medicine,tertiary,8342.05,36571.76,2171.43,B,4.4,1.0,4.4,None,4.0,0,True,0.0,0.40000000000000036
F,divorced,27.72,2,manuf,postgrad,8164.99,37036.28,3839.36,B,4.4,1.0,4.4,None,4.7,0,True,0.0,0.2999999999999998
F,single,28.4,0,construct,secondary,4799.65,39693.73,5907.47,B,4.4,1.0,4.4,B,5.4,1,False,5.4,1.0
F,single,28.43,0,IT,tertiary,6804.63,29113.22,3146.81,B,4.39,1.0,4.39,None,4.3,0,True,0.0,0.08999999999999986
M,single,28.05,0,legal,tertiary,8487.67,23868.59,3247.88,B,4.39,1.0,4.39,B,4.2,1,False,4.2,0.1899999999999995
F,single,23.67,0,IT,postgrad,12855.17,25942.45,2923.11,B,4.39,1.0,4.39,None,4.1,0,True,0.0,0.29000000000000004
F,single,18.43,0,legal,tertiary,11697.83,31000.34,2861.78,B,4.38,1.0,4.38,None,3.8,0,True,0.0,0.5800000000000001
F,single,26.38,0,finance,tertiary,7162.38,31829.06,2800.99,B,4.38,1.0,4.38,None,4.1,0,True,0.0,0.28000000000000025
F,single,29.13,0,finance,tertiary,3646.9,34392.54,2712.04,B,4.38,1.0,4.38,None,4.2,0,True,0.0,0.17999999999999972
M,single,22.7,0,manuf,professional,9826.88,30205.13,3829.71,B,4.37,1.0,4.37,None,4.3,0,True,0.0,0.07000000000000028
M,single,28.87,0,legal,tertiary,11504.91,31682.71,2278.78,B,4.37,1.0,4.37,None,4.3,0,True,0.0,0.07000000000000028
F,single,27.93,0,IT,tertiary,4135.18,35627.51,2589.38,B,4.37,1.0,4.37,None,4.2,0,True,0.0,0.16999999999999993
M,single,27.99,0,IT,postgrad,8246.85,16293.02,3837.06,B,4.37,1.0,4.37,None,4.1,0,True,0.0,0.27000000000000046
F,single,27.73,0,legal,postgrad,3582.25,38588.41,2081.92,B,4.37,1.0,4.37,None,4.1,0,True,0.0,0.27000000000000046
F,single,27.46,0,IT,postgrad,14119.61,29966.09,2352.28,B,4.36,1.0,4.36,B,4.3,1,False,4.3,0.0600000000000005
F,single,26.61,0,finance,postgrad,8160.49,17256.59,4169.39,B,4.36,1.0,4.36,None,4.2,0,True,0.0,0.16000000000000014
M,single,25.12,0,manuf,postgrad,5373.49,31206.49,3768.27,B,4.36,1.0,4.36,B,4.3,1,False,4.3,0.0600000000000005
F,single,18.74,0,manuf,professional,10074.11,30812.53,4235.97,B,4.35,1.0,4.35,None,4.2,0,True,0.0,0.14999999999999947
F,single,18.66,0,finance,tertiary,9500.83,28145.32,2949.99,B,4.35,1.0,4.35,None,3.7,0,True,0.0,0.6499999999999995
M,single,19.98,0,legal,tertiary,6658.17,28885.78,2521.68,B,4.35,1.0,4.35,None,3.6,0,True,0.0,0.7499999999999996
M,single,29.69,0,IT,professional,15703.99,8854.45,6184.11,B,4.35,1.0,4.35,B,5.0,1,False,5.0,0.6500000000000004
F,single,23.06,0,government,postgrad,8590.48,45466.31,2491.77,B,4.35,1.0,4.35,B,4.3,1,False,4.3,0.04999999999999982
F,single,29.39,0,legal,tertiary,7782.66,30965.12,2628.45,B,4.35,1.0,4.35,B,4.2,1,False,4.2,0.14999999999999947
F,divorced,25.38,2,government,postgrad,6094.4,46794.13,2481.5,B,4.35,1.0,4.35,None,4.4,0,True,0.0,0.05000000000000071
F,single,26.14,0,medicine,tertiary,6778.62,34950.32,2342.81,B,4.34,1.0,4.34,None,4.1,0,True,0.0,0.2400000000000002
F,single,28.02,0,finance,postgrad,13743.95,21092.99,3199.76,B,4.34,1.0,4.34,None,4.3,0,True,0.0,0.040000000000000036
F,single,29.47,0,government,postgrad,12488.47,38699.72,2702.9,B,4.34,1.0,4.34,None,4.7,0,True,0.0,0.3600000000000003
M,single,27.73,0,manuf,postgrad,6887.98,28523.57,3847.55,B,4.34,1.0,4.34,B,4.4,1,False,4.4,0.0600000000000005
M,single,28.06,0,IT,tertiary,3053.99,28420.05,2647.58,B,4.34,1.0,4.34,None,3.9,0,True,0.0,0.43999999999999995
M,single,26.02,0,construct,tertiary,7256.32,36230.87,3443.15,B,4.33,1.0,4.33,None,4.5,0,True,0.0,0.16999999999999993
M,single,21.99,0,legal,tertiary,10435.02,32261.0,2114.47,B,4.33,1.0,4.33,None,3.8,0,True,0.0,0.5300000000000002
M,single,27.83,0,education,professional,7606.13,25985.05,2239.41,B,4.33,1.0,4.33,None,3.9,0,True,0.0,0.43000000000000016
F,single,27.33,0,construct,postgrad,7256.32,36230.87,3443.15,B,4.33,1.0,4.33,None,4.5,0,True,0.0,0.16999999999999993
F,single,19.39,0,legal,tertiary,6933.38,33298.97,2479.82,B,4.33,1.0,4.33,None,3.7,0,True,0.0,0.6299999999999999
M,single,25.34,0,legal,tertiary,7044.76,29295.08,2334.03,B,4.33,1.0,4.33,None,3.9,0,True,0.0,0.43000000000000016
M,single,28.37,0,government,postgrad,6909.91,26373.73,3477.02,B,4.33,1.0,4.33,None,4.3,0,True,0.0,0.03000000000000025
F,single,27.33,0,legal,tertiary,10612.94,30905.59,2531.05,B,4.33,1.0,4.33,None,4.2,0,True,0.0,0.1299999999999999
M,single,28.83,0,medicine,tertiary,8505.22,46662.41,1425.98,B,4.33,1.0,4.33,B,4.3,1,False,4.3,0.03000000000000025
M,single,21.03,0,medicine,tertiary,10604.03,29717.48,2259.08,B,4.33,1.0,4.33,None,3.7,0,True,0.0,0.6299999999999999
F,single,26.01,0,manuf,postgrad,4724.65,45037.37,2828.24,B,4.32,1.0,4.32,None,4.4,0,True,0.0,0.08000000000000007
M,single,27.33,0,legal,tertiary,7086.54,32505.16,2048.36,B,4.32,1.0,4.32,None,4.0,0,True,0.0,0.3200000000000003
F,single,28.35,0,construct,secondary,13094.78,41577.53,4142.19,B,4.32,1.0,4.32,None,5.2,0,True,0.0,0.8799999999999999
M,single,27.83,0,IT,tertiary,7155.73,23620.83,2857.41,B,4.32,1.0,4.32,B,4.0,1,False,4.0,0.3200000000000003
F,single,27.84,0,IT,tertiary,5753.08,24140.44,3328.01,B,4.32,1.0,4.32,None,4.1,0,True,0.0,0.22000000000000064
M,single,18.84,0,medicine,tertiary,6960.13,38245.69,1733.23,B,4.31,1.0,4.31,B,3.6,1,False,3.6,0.7099999999999995
F,single,27.23,0,medicine,tertiary,10012.8,31858.8,2313.96,B,4.31,1.0,4.31,B,4.1,1,False,4.1,0.20999999999999996
F,single,21.68,0,medicine,tertiary,11417.49,30237.18,2474.62,B,4.31,1.0,4.31,B,3.9,1,False,3.9,0.4099999999999997
M,single,22.52,0,government,postgrad,7538.81,24988.51,3610.21,B,4.31,1.0,4.31,None,4.0,0,True,0.0,0.3099999999999996
F,single,27.01,0,IT,postgrad,14423.81,29967.62,2105.76,B,4.31,1.0,4.31,B,4.2,1,False,4.2,0.10999999999999943
M,single,18.53,0,manuf,postgrad,10962.88,41120.92,2519.88,B,4.31,1.0,4.31,None,4.0,0,True,0.0,0.3099999999999996
M,single,27.02,0,government,postgrad,8640.56,33908.09,2503.09,B,4.3,1.0,4.3,None,4.2,0,True,0.0,0.09999999999999964
M,single,28.28,0,government,postgrad,7997.97,28652.36,2983.54,B,4.3,1.0,4.3,None,4.2,0,True,0.0,0.09999999999999964
M,single,24.61,0,government,professional,12393.46,24247.29,3525.1,B,4.3,1.0,4.3,B,4.2,1,False,4.2,0.09999999999999964
F,single,27.47,0,IT,postgrad,9019.62,32133.05,1923.67,B,4.29,1.0,4.29,B,4.0,1,False,4.0,0.29000000000000004
F,single,20.96,0,finance,tertiary,7152.81,31129.36,2375.42,B,4.29,1.0,4.29,None,3.7,0,True,0.0,0.5899999999999999
M,single,20.7,0,finance,tertiary,8755.92,24057.22,2609.64,B,4.29,1.0,4.29,None,3.6,0,True,0.0,0.69
F,single,28.19,0,finance,postgrad,7461.43,30031.09,2080.51,B,4.29,1.0,4.29,B,4.0,1,False,4.0,0.29000000000000004
M,single,18.12,0,IT,tertiary,4761.13,22695.65,2994.76,B,4.29,1.0,4.29,None,3.4,0,True,0.0,0.8900000000000001
M,single,18.33,0,legal,tertiary,7075.8,19753.74,3235.07,B,4.29,1.0,4.29,None,3.5,0,True,0.0,0.79
F,single,25.54,0,government,professional,9427.89,22860.97,4163.96,B,4.28,1.0,4.28,B,4.3,1,False,4.3,0.019999999999999574
F,single,27.86,0,government,postgrad,11236.7,37255.43,2484.54,B,4.28,1.0,4.28,None,4.4,0,True,0.0,0.1200000000000001
